HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
731808074909264,82001,3,200611,46,-0.01,58,0,19,1,2092.1309,1
983179650539107,80001,1,200611,46,7.00,58,12060,33,1,3071.0241,1
330400058698115,82001,2,200611,46,-0.01,22,35620,48,1,2601.1164,1
620941092737279,80002,4,200611,46,-0.01,22,37980,21,1,5590.1133,1
499300389410973,80001,2,200611,46,-0.01,22,37980,47,1,2601.1164,1
240944091737559,80001,1,200611,46,-0.01,22,47220,37,1,2643.2826,1
942004951359690,80001,2,200611,46,12.00,22,35620,42,2,2484.1087,1
469120979480943,82001,2,200611,46,-0.01,22,35620,32,1,2452.9170,1
330400052098413,82001,1,200611,46,-0.01,22,35620,26,1,3549.6503,1
022243540999091,80002,4,200611,46,-0.01,22,35620,23,1,2599.7648,1
543489086909395,80001,1,200611,46,-0.01,22,35620,58,1,2503.5858,1
966759510596303,82001,3,200611,46,-0.01,21,0,16,-1,1973.2907,3
055393560698498,80001,4,200611,46,-0.01,21,0,15,-1,0.0000,3
668150608760963,80001,1,200611,46,-0.01,21,35620,38,1,4244.4589,1
669250365300983,80001,3,200611,46,-0.01,21,35620,22,2,3821.9930,1
040523160926599,82001,2,200611,46,8.00,21,35620,60,1,3331.1804,1
914076199349940,82001,2,200611,46,-0.01,21,35620,53,1,3558.0226,1
530609933405353,80001,2,200611,46,-0.01,21,35620,55,1,3039.2729,1
912006755379350,80001,3,200611,46,-0.01,21,35620,20,2,4218.6357,1
550967090831769,82001,4,200611,46,6.50,21,0,22,1,4357.3245,1
361952706098629,82001,1,200611,46,-0.01,21,0,46,1,2471.6697,1
052134620953094,80001,2,200611,46,-0.01,23,38300,47,1,2714.9272,1
005901034591222,80001,1,200611,46,8.00,23,37980,45,1,3219.3036,1
005901034591222,80001,2,200611,46,8.00,23,37980,43,1,2713.0939,1
005901034591222,80001,3,200611,46,8.00,23,37980,22,1,3345.1277,1
005901034591222,80001,4,200611,46,8.00,23,37980,20,1,3345.1277,1
065194420983590,82001,3,200611,46,-0.01,23,37980,23,2,3381.2778,1
980722095447039,80001,1,200611,46,-0.01,23,37980,45,2,2985.8994,1
289920028230964,80001,2,200611,46,-0.01,23,25420,39,1,2603.0940,1
224491829200927,82001,2,200611,46,-0.01,23,21500,28,2,3107.6625,1
922032766459490,80001,3,200611,46,6.00,23,10900,16,2,2537.7280,1
270925096447499,80001,2,200611,46,-0.01,23,10900,36,1,3451.1741,1
024455047001808,80001,3,200611,46,-0.01,23,10900,23,1,4164.2161,1
812519060569400,80001,3,200611,46,-0.01,23,49620,22,1,3430.5579,2
983029710909100,82001,3,200611,46,-0.01,58,12060,22,-1,4001.0765,3
963283087906391,80001,1,200611,46,-0.01,21,35620,65,2,2779.3246,1
427461879200931,82001,2,200611,46,-0.01,23,0,44,2,2656.6491,1
289230056120964,80001,1,200611,46,-0.01,23,37980,27,1,4307.8782,1
307000891105563,80001,3,200611,46,-0.01,58,12060,19,2,3116.7331,1
818197249300898,82001,3,200611,46,8.50,58,12060,51,2,2905.9820,1
350100810300104,80001,4,200611,46,-0.01,58,12060,67,1,2528.3097,2
801007581103143,82001,1,200611,46,7.75,58,12060,20,1,3975.2109,1
499770207730953,80001,2,200611,46,10.64,22,35620,54,1,2723.6447,1
947076214379490,80001,1,200611,46,-0.01,21,35620,23,1,3198.9876,1
299600489180914,82001,1,200611,46,-0.01,23,0,75,2,2477.3852,2
922839170169404,80001,3,200611,46,-0.01,23,0,17,2,3505.7137,1
703904214697582,82001,2,200611,46,-0.01,23,37980,47,1,2867.1037,2
399560802210971,80001,1,200611,46,-0.01,58,12020,65,2,2725.2385,1
399560802210971,80001,2,200611,46,-0.01,58,12020,29,1,3375.2976,2
399420785180911,82001,3,200611,46,6.50,58,12060,18,2,2834.4792,1
810932094711859,82001,1,200611,46,12.50,58,12060,47,1,2880.7815,1
360838094918699,80001,4,200611,46,-0.01,58,12060,21,2,3397.0170,1
310800161200041,82001,3,200611,46,-0.01,58,12060,32,2,3720.9699,1
196996003031359,80001,1,200611,46,-0.01,58,12060,52,1,2955.4112,1
981073944139570,82001,3,200611,46,-0.01,58,10500,19,2,2937.9753,1
731025021905495,82001,1,200611,46,12.00,58,12060,31,1,4321.0822,1
060441430988391,82001,2,200611,46,-0.01,58,12060,35,2,2867.8598,1
196974409088379,82001,1,200611,46,-0.01,58,0,33,1,2254.8794,1
196974409088379,82001,3,200611,46,-0.01,58,0,24,2,2532.5365,1
379670679290931,82001,2,200611,46,-0.01,58,12060,18,2,3144.4962,1
962194959300939,80001,1,200611,46,-0.01,58,10500,20,1,3138.5587,2
399630293840911,82001,1,200611,46,7.25,58,0,25,2,3646.6936,1
600934095311749,82001,2,200611,46,9.75,58,46660,42,2,3040.1027,1
740131000912400,82001,1,200611,46,-0.01,58,12060,46,1,4485.8511,1
998003948179830,80002,1,200611,46,-0.01,58,16860,23,2,3599.1262,1
410300020886614,82001,2,200611,46,-0.01,58,12060,39,1,2821.3389,1
943649670659100,80001,1,200611,46,-0.01,58,12060,49,1,2919.1837,1
607900693696754,80001,1,200611,46,-0.01,22,35620,36,1,3196.8467,1
643482086909591,80001,1,200611,46,-0.01,22,37980,23,1,3529.9460,1
643482086909591,80001,3,200611,46,-0.01,22,37980,19,1,3026.4984,1
643482086909591,80001,4,200611,46,-0.01,22,37980,22,1,3529.9460,1
302907053994324,82001,1,200611,46,-0.01,22,37980,32,2,3595.8353,1
606901473992354,80001,1,200611,46,-0.01,22,47220,35,1,5940.7626,1
026733140992199,82001,1,200611,46,-0.01,22,35620,33,1,3929.5570,1
026733140992199,82001,2,200611,46,-0.01,22,35620,38,1,3886.2887,1
026733140992199,82001,3,200611,46,-0.01,22,35620,29,1,3491.6467,1
981004989359090,80001,6,200611,46,7.75,22,37980,20,2,3475.0630,1
479050321270973,80002,1,200611,46,-0.01,22,35620,40,2,2784.6386,1
630409926590174,80001,2,200611,46,-0.01,22,35620,33,1,3617.6767,1
305900983894524,80001,2,200611,46,-0.01,22,35620,46,2,2992.4846,1
943480006909995,80001,5,200611,46,-0.01,22,35620,16,2,2871.9274,1
060943090637229,80001,2,200611,46,-0.01,22,35620,45,1,3813.6999,1
043859058909792,80001,4,200611,46,-0.01,22,10900,20,2,3112.9994,1
990860094332899,82001,1,200611,46,-0.01,21,15380,23,2,3422.0324,1
990860094332899,82001,2,200611,46,-0.01,21,15380,27,2,3535.7555,1
957390949600597,80001,1,200611,46,-0.01,21,15380,32,1,3941.8295,1
404900293496256,82001,1,200611,46,-0.01,21,35620,25,1,4260.3010,1
404900293496256,82001,2,200611,46,-0.01,21,35620,30,1,3695.2937,1
244392959600460,82001,2,200611,46,-0.01,21,35620,21,1,5577.2493,1
244392959600460,82001,3,200611,46,-0.01,21,35620,46,1,4989.4227,1
763252036807291,80003,1,200611,46,-0.01,21,35620,58,1,3270.9800,1
730609941982183,80001,1,200611,46,-0.01,21,40380,24,2,3746.6559,1
763221001901698,82001,1,200611,46,-0.01,21,35620,35,1,2922.0945,1
960167091732889,82001,3,200611,46,-0.01,21,35620,27,1,3293.0258,1
830609961480292,80001,1,200611,46,-0.01,21,46540,20,1,3823.8711,1
863891041901690,82001,3,200611,46,7.00,21,35620,31,2,3823.7803,1
398916705054679,80001,1,200611,46,-0.01,21,35620,32,1,2357.8324,1
972016947339510,82001,3,200611,46,-0.01,21,35620,65,1,2559.1189,1
728365619600992,82001,2,200611,46,-0.01,21,0,28,1,3297.0076,1
084366869600993,80001,3,200611,46,-0.01,21,0,20,2,3757.7749,1
689610199140943,82001,3,200611,46,-0.01,21,40380,21,2,3791.3340,1
689610199140943,82001,4,200611,46,-0.01,21,40380,16,2,3041.9474,1
992699450019403,80002,1,200611,46,-0.01,23,38300,22,2,3197.9964,2
992699450019403,80002,3,200611,46,-0.01,23,38300,22,2,3197.9964,2
652279580779401,80002,1,200611,46,-0.01,23,38300,31,2,3934.6970,2
530524099846819,80001,2,200611,46,-0.01,23,37980,50,1,2592.4260,1
140209940899389,82001,1,200611,46,-0.01,23,37980,75,1,3075.5340,1
782749450359409,80001,3,200611,46,7.50,23,37980,21,2,3365.4147,1
299620433740914,82001,4,200611,46,-0.01,23,0,17,1,2604.9225,1
938092931459170,80001,1,200611,46,11.00,23,0,27,1,2830.5120,1
493911807074228,82001,2,200611,46,8.50,23,25420,27,1,2807.4069,1
493911807074228,82001,3,200611,46,9.25,23,25420,33,1,2819.2089,1
492912208024279,82001,1,200611,46,-0.01,23,21500,51,1,2436.7125,1
802903364992912,82001,1,200611,46,-0.01,23,0,35,2,2624.5175,1
020424820984991,80001,1,200611,46,-0.01,23,29540,65,1,2319.7675,1
020424820984991,80001,2,200611,46,-0.01,23,29540,65,2,2568.1415,1
902879970359402,80001,1,200611,46,-0.01,23,42540,38,1,4233.2269,1
972069550509409,80001,3,200611,46,5.25,23,0,17,2,2604.9225,1
259070856570924,82001,1,200611,46,-0.01,23,37980,65,1,2961.1889,1
062314220967991,82001,1,200611,46,-0.01,23,37980,65,1,2961.1889,1
931022671429690,82001,1,200611,46,-0.01,23,37980,41,1,3843.6630,1
229270459680934,82001,2,200611,46,-0.01,23,37980,28,2,3712.6326,1
229270459680934,82001,3,200611,46,-0.01,23,37980,22,1,4145.4247,2
249160193270934,82001,1,200611,46,-0.01,23,37980,21,1,3230.9635,1
992062784459750,80001,2,200611,46,-0.01,23,37980,19,-1,4042.8489,3
550627090846769,80001,1,200611,46,-0.01,23,37980,27,1,4146.8403,1
953679750769102,80001,3,200611,46,20.00,58,42340,16,2,2865.2594,1
403901501699443,82001,3,200611,46,-0.01,58,12060,18,1,3322.4544,1
403901501699443,82001,5,200611,46,-0.01,58,12060,27,1,4096.1582,1
101005308000341,80001,5,200611,46,7.10,58,12060,18,1,2845.6050,1
330409933144380,82001,4,200611,46,-0.01,22,35620,30,1,2572.1058,1
726392949600925,82001,3,200611,46,-0.01,21,0,16,2,2834.5002,1
801906073896156,82001,1,200611,46,-0.01,21,35620,55,1,3039.2729,1
231395039600655,82001,1,200611,46,-0.01,21,35620,40,1,4310.7850,1
391962903092657,82001,4,200611,46,-0.01,21,35620,20,2,3245.4951,1
563536082909760,82001,5,200611,46,-0.01,21,28740,19,2,2893.7160,1
563536082909760,82001,6,200611,46,-0.01,21,28740,20,1,3257.6262,1
852529020979401,82001,2,200611,46,-0.01,23,39740,57,2,2641.9874,1
906906634993322,80001,1,200611,46,-0.01,23,25420,53,2,2637.2468,1
497952508013269,82001,1,200611,46,-0.01,23,0,43,2,3123.4565,2
022874120697890,82001,2,200611,46,17.85,23,0,52,1,2709.6633,1
993849010999103,82001,1,200611,46,11.25,58,42340,19,1,3301.9874,1
993849010999103,82001,2,200611,46,8.00,58,42340,20,2,4018.3786,1
993849010999103,82001,3,200611,46,8.00,58,42340,19,2,3301.9874,1
108905891995663,80001,1,200611,46,-0.01,58,12060,50,1,2696.6609,1
108905891995663,80001,2,200611,46,-0.01,58,12060,46,2,2862.7614,1
108905891995663,80001,3,200611,46,-0.01,58,12060,17,2,2681.8152,1
953093860149540,82001,1,200611,46,-0.01,58,12060,28,2,3162.3427,1
097101530996797,80001,1,200611,46,-0.01,58,0,23,1,4009.5463,1
097101530996797,80001,2,200611,46,-0.01,58,0,35,1,3630.4053,1
097101530996797,80001,3,200611,46,-0.01,58,0,51,1,2382.4188,1
973629050749104,80001,2,200611,46,-0.01,58,12060,49,1,2880.7815,1
010421830950198,80001,2,200611,46,-0.01,58,12060,29,1,2871.9388,1
231015032907597,82001,2,200611,46,-0.01,58,12060,18,2,2996.7029,1
531778096907791,80001,1,200611,46,-0.01,58,12060,62,1,3209.9080,1
610309991775877,80001,2,200611,46,-0.01,58,12060,17,1,3513.4507,1
399540364070911,82001,2,200611,46,15.00,58,46660,27,1,3191.1495,1
000933090913599,82001,3,200611,46,-0.01,58,12060,15,2,0.0000,1
391902604094489,82001,1,200611,46,-0.01,22,37980,34,1,3617.6767,1
404903523792864,82001,1,200611,46,-0.01,22,37980,53,1,2879.8760,1
590943092737759,80001,1,200611,46,-0.01,22,45940,50,1,2336.7860,1
054533440988192,82001,4,200611,46,-0.01,22,35620,17,2,2445.3473,1
069394959400908,80001,5,200611,46,-0.01,22,35620,19,1,3484.7485,1
960014809389390,80002,1,200611,46,-0.01,22,35620,36,1,2767.6420,1
040761096935849,80001,1,200611,46,-0.01,21,35620,51,1,3084.0678,1
140391289600904,82001,5,200611,46,-0.01,21,13780,16,2,3041.9474,1
689600616920983,80001,2,200611,46,-0.01,21,13780,22,2,3597.5120,1
896849020999303,82001,1,200611,46,-0.01,21,15380,24,1,3422.0324,1
022243360999091,82001,2,200611,46,-0.01,21,15380,27,1,4159.3040,1
730609900828205,80001,4,200611,46,-0.01,21,35620,37,1,3736.0922,1
630465094037879,80002,2,200611,46,-0.01,21,35620,26,1,3663.6787,1
480962097337519,80001,2,200611,46,-0.01,21,35620,50,1,3276.2891,1
395916300051619,80001,2,200611,46,-0.01,21,45060,41,1,2712.1356,1
863561054907397,82001,3,200611,46,-0.01,21,40380,20,2,3791.3340,1
663155082907193,82001,5,200611,46,-0.01,21,35620,34,2,3503.1600,1
699680429470973,80001,1,200611,46,-0.01,21,46540,40,1,2955.0096,1
397916601019619,80002,2,200611,46,-0.01,21,45060,26,1,3326.4518,1
430609912490294,82001,3,200611,46,-0.01,21,39100,23,1,2551.2442,1
302904053293336,82001,1,200611,46,-0.01,21,35620,66,1,3531.4354,1
689220143070963,80001,1,200611,46,-0.01,21,10580,67,2,2052.0799,1
689220143070963,80001,2,200611,46,-0.01,21,10580,63,2,2704.5587,1
689030224710983,80001,1,200611,46,-0.01,21,35620,25,1,3569.7360,1
076953560995498,80001,2,200611,46,5.75,21,10580,43,2,3460.0286,1
015733160998595,82001,2,200611,46,7.50,21,10580,24,2,4396.2380,1
699130589880953,80001,2,200611,46,6.50,21,35620,41,1,3488.0084,1
699130589880953,80001,4,200611,46,6.50,21,35620,16,2,3641.6952,1
699130589880953,80001,5,200611,46,6.50,21,35620,15,2,0.0000,1
700462098137719,80001,1,200611,46,-0.01,21,35620,49,1,3007.1612,1
701908683895436,82001,2,200611,46,16.00,21,40380,46,1,3261.9034,1
299300765540914,82001,3,200611,46,8.00,23,0,17,2,2604.9225,1
520425096041799,82001,2,200611,46,12.50,23,38300,41,2,2651.2844,1
692699420019403,82001,3,200611,46,-0.01,23,38300,16,2,3620.7873,1
605909074899622,80001,2,200611,46,6.25,23,38300,24,2,3290.0172,1
207905934690242,80001,1,200611,46,-0.01,23,38300,54,1,2969.0360,1
740209924593062,80001,4,200611,46,-0.01,23,38300,17,2,3966.9186,1
524869096909695,80001,1,200611,46,-0.01,23,38300,60,1,2835.2325,1
206607414991412,80001,1,200611,46,-0.01,23,0,65,2,2298.2021,1
657498979200891,80001,2,200611,46,9.25,23,21500,25,1,2807.4069,1
508905264999782,80002,3,200611,46,-0.01,23,0,20,2,3114.7142,2
240209991336298,82001,2,200611,46,-0.01,23,0,27,1,3133.2386,1
289120294040984,80001,2,200611,46,-0.01,23,29540,62,2,2941.8239,1
494918701082219,80001,3,200611,46,-0.01,23,29540,26,2,4481.3782,1
495922606048287,82001,1,200611,46,-0.01,23,10900,45,1,2611.3473,1
494916800026259,80002,1,200611,46,-0.01,23,0,35,1,2624.5175,1
340209923251056,82001,4,200611,46,-0.01,23,37980,15,1,0.0000,1
289830720700944,82001,2,200611,46,-0.01,23,37980,61,2,3086.9839,1
440209965564993,82001,1,200611,46,-0.01,23,0,45,1,2935.0804,1
240209933098473,82001,1,200611,46,-0.01,23,37980,65,1,2961.1889,1
957052589449080,82001,1,200611,46,-0.01,23,37980,71,1,2420.1501,1
957052589449080,82001,2,200611,46,-0.01,23,37980,46,1,3223.8725,2
198922501077349,82001,2,200611,46,-0.01,58,12060,33,2,3218.7240,1
004741530996792,80001,2,200611,46,15.50,58,12060,22,1,3533.1714,1
903139710529105,82001,1,200611,46,32.00,58,12060,40,1,3280.3821,1
903139710529105,82001,2,200611,46,10.00,58,12060,33,1,3087.8330,1
964053960179640,80001,1,200611,46,-0.01,58,12060,35,1,3312.5011,1
943285096909196,80001,3,200611,46,-0.01,22,35620,16,2,3113.4548,1
904799410799309,82001,1,200611,46,-0.01,22,35620,42,1,3150.8515,1
924379670259304,80001,4,200611,46,-0.01,22,35620,28,1,2898.3988,1
055394320998498,82001,5,200611,46,-0.01,23,0,23,1,4594.0736,1
057062159460820,80001,3,200611,46,-0.01,23,0,17,2,2801.3062,1
300926091443849,82001,2,200611,46,-0.01,23,0,34,1,3243.5181,1
310300012785116,82001,3,200611,46,-0.01,58,12060,19,2,3258.1525,1
196967004044348,80001,3,200611,46,-0.01,58,42340,19,1,3013.8282,1
196967004044348,80001,4,200611,46,-0.01,58,42340,17,2,3013.8282,1
970073739119210,82001,2,200611,46,-0.01,58,12060,38,1,3332.0791,1
531430026909693,80002,3,200611,46,-0.01,58,12060,35,1,3166.1673,1
399670706330951,80001,1,200611,46,15.50,58,12060,55,1,2500.6893,1
399670706330951,80001,2,200611,46,7.00,58,12060,33,1,3084.2140,1
197902302055317,82001,2,200611,46,-0.01,58,12060,25,1,3901.4925,1
231444057001802,80001,4,200611,46,-0.01,58,12060,19,2,3278.8579,1
063571530991897,80001,1,200611,46,-0.01,58,12060,22,1,3240.4056,1
923979110009105,82001,3,200611,46,-0.01,58,12060,21,-1,3773.8495,3
076821730691591,80001,1,200611,46,-0.01,58,0,46,2,2964.9734,1
824119340479305,82001,2,200611,46,-0.01,22,37980,63,1,2511.5069,1
643391099400914,82001,4,200611,46,-0.01,22,37980,30,1,2452.9170,1
942394399400964,82001,2,200611,46,-0.01,22,35620,42,1,2798.2761,1
543332085908790,80001,4,200611,46,88.00,22,35620,18,2,4648.8342,1
880947091631669,82001,1,200611,46,-0.01,22,35620,61,1,3101.8440,1
880947091631669,82001,2,200611,46,-0.01,22,35620,30,1,3423.5787,1
143927066907191,80001,7,200611,46,-0.01,22,35620,24,1,3529.9460,1
914769310399303,82001,1,200611,46,-0.01,22,35620,46,1,3312.3254,1
914769310399303,82001,2,200611,46,-0.01,22,35620,43,1,2606.6471,1
934839950329301,80001,1,200611,46,-0.01,22,35620,34,1,3744.8287,1
934839950329301,80001,2,200611,46,-0.01,22,35620,36,2,2905.9955,1
934839950329301,80001,3,200611,46,10.00,22,35620,23,1,3773.5583,1
934839950329301,80001,4,200611,46,-0.01,22,35620,34,1,3744.8287,1
391901604094686,82001,1,200611,46,6.00,21,35620,24,1,2830.7845,1
686749420359309,82001,1,200611,46,-0.01,21,15380,17,2,2861.0758,1
686749420359309,82001,2,200611,46,-0.01,21,15380,25,1,3198.6791,1
061763560999793,80001,2,200611,46,-0.01,21,0,18,1,3386.5134,2
130609900828235,82001,1,200611,46,-0.01,21,35620,32,1,3823.7803,1
130609900828235,82001,2,200611,46,-0.01,21,35620,29,1,3100.9068,1
974036480379560,80001,1,200611,46,-0.01,21,35620,29,1,3848.3571,1
974036480379560,80001,2,200611,46,-0.01,21,35620,29,1,3663.6787,1
639150608760983,80001,1,200611,46,-0.01,21,35620,46,1,3847.8053,1
304906583791576,82001,1,200611,46,-0.01,21,40380,16,2,3331.4841,1
304906583791576,82001,3,200611,46,-0.01,21,40380,18,2,3041.9474,1
871391639600655,80001,1,200611,46,-0.01,21,35620,44,2,3065.1613,1
871391639600655,80001,2,200611,46,-0.01,21,35620,21,2,3160.2926,1
391998900010609,80001,2,200611,46,-0.01,21,35620,85,1,3029.4280,1
396981905059650,82001,1,200611,46,-0.01,21,35620,25,1,4290.8268,1
397991106078683,82001,4,200611,46,10.00,21,35620,22,1,3355.1898,1
392973806016625,82001,1,200611,46,-0.01,21,35620,27,1,4028.1372,1
270068090136269,80001,1,200611,46,-0.01,21,35620,42,1,4397.1690,1
465398129600978,80001,3,200611,46,-0.01,21,15380,20,1,3219.4606,1
