HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399220989370971,80002,2,200610,46,-0.01,58,12060,16,2,3604.0640,1
818197249300898,82001,3,200610,46,-0.01,58,12060,51,2,2958.7400,1
931319094907999,80001,4,200610,46,-0.01,58,12060,40,2,2673.1514,1
196996003031359,80001,1,200610,46,-0.01,58,12060,52,1,2922.0188,1
981073944139570,82001,3,200610,46,-0.01,58,10500,18,2,3162.0414,1
231444051906892,82001,6,200610,46,-0.01,58,12060,17,2,2821.0843,1
379670679290931,82001,2,200610,46,-0.01,58,12060,18,2,3766.8916,2
983179650539107,80001,1,200610,46,-0.01,58,12060,33,1,3203.8209,1
607900693696754,80001,1,200610,46,-0.01,22,35620,36,1,3238.4225,1
643482086909591,80001,1,200610,46,-0.01,22,37980,22,1,4110.5306,1
643482086909591,80001,3,200610,46,-0.01,22,37980,19,1,3057.5823,1
643482086909591,80001,4,200610,46,-0.01,22,37980,22,1,4110.5306,1
606901473992354,80001,1,200610,46,-0.01,22,47220,35,1,5421.2636,1
499770207730953,80001,2,200610,46,-0.01,22,35620,54,1,2702.8869,1
942004951359690,80001,2,200610,46,-0.01,22,35620,42,2,2715.0868,1
630409926590174,80001,2,200610,46,-0.01,22,35620,33,1,3767.5086,1
914769310399303,82001,1,200610,46,-0.01,22,35620,46,1,3141.0324,1
914769310399303,82001,2,200610,46,-0.01,22,35620,43,1,2834.1089,1
966096826389010,81001,5,200610,46,-0.01,21,13780,18,1,3482.9684,2
396951005091636,82001,1,200610,46,-0.01,21,15380,47,1,2915.8618,1
686749420359309,82001,2,200610,46,-0.01,21,15380,25,1,3283.3121,1
055393560698498,80001,4,200610,46,-0.01,21,0,15,2,0.0000,1
130609900828235,82001,1,200610,46,-0.01,21,35620,32,1,3335.3346,1
130609900828235,82001,2,200610,46,-0.01,21,35620,29,1,3261.2388,1
963206024904495,80002,1,200610,46,8.00,21,35620,20,2,3560.7164,1
963206024904495,80002,5,200610,46,-0.01,21,35620,22,2,3824.9511,1
391925307022650,80001,2,200610,46,-0.01,21,35620,30,1,2940.8623,1
052843460984190,80001,1,200610,46,-0.01,21,40380,35,2,3172.6538,1
082643560994093,80001,1,200610,46,-0.01,21,40380,56,2,2768.1080,2
686949180329301,81001,3,200610,46,6.75,21,40380,18,2,3558.2251,1
686949180329301,81001,4,200610,46,7.50,21,40380,23,1,3441.5365,1
010013460980999,80001,3,200610,46,6.00,21,35620,21,2,4005.5203,1
763221001901698,82001,1,200610,46,-0.01,21,35620,34,1,3335.3346,1
040523160926599,82001,1,200610,46,-0.01,21,35620,59,1,2842.2534,1
040523160926599,82001,2,200610,46,-0.01,21,35620,60,1,3350.6688,1
026209860679301,80001,2,200610,46,-0.01,21,35620,32,1,3946.9420,1
270068090136269,80001,1,200610,46,-0.01,21,35620,42,1,4582.8333,1
463595088909995,81001,1,200610,46,-0.01,21,39100,39,-1,4220.6201,3
241395059600932,80001,1,200610,46,4.00,21,0,33,2,3432.4065,1
063523024909195,80001,2,200610,46,8.00,21,0,60,1,2584.2243,1
863891041901690,82001,3,200610,46,-0.01,21,35620,30,2,3335.3346,1
530609933405353,80001,2,200610,46,-0.01,21,35620,55,1,3201.5770,1
007243660950398,80001,1,200610,46,-0.01,21,35620,24,1,3913.5424,1
007243660950398,80001,3,200610,46,-0.01,21,35620,28,1,3541.4196,1
007243660950398,80001,4,200610,46,-0.01,21,35620,34,1,3453.9729,1
007243660950398,80001,5,200610,46,-0.01,21,35620,28,1,3541.4196,1
689250717140983,81001,4,200610,46,4.00,21,35620,21,2,2542.2127,1
964046963379700,80001,1,200610,46,-0.01,21,35620,37,1,3632.3543,1
941492969200758,80001,4,200610,46,-0.01,23,38300,18,-1,2897.0589,3
508909264994182,81001,3,200610,46,6.00,23,39740,46,2,2911.1583,1
902032811449200,80001,1,200610,46,6.50,23,37980,35,2,3069.6370,1
498934609065289,80001,2,200610,46,21.60,23,37980,40,1,2818.5936,1
052134820987290,81001,1,200610,46,15.00,23,37980,28,1,3929.2043,1
052134820987290,81001,2,200610,46,15.00,23,37980,29,1,4703.4115,1
980722095447039,80001,1,200610,46,-0.01,23,37980,45,2,2880.0023,1
289920028230964,80001,2,200610,46,-0.01,23,25420,39,1,2597.3215,1
802903364992912,82001,1,200610,46,-0.01,23,0,35,2,2562.9231,1
493938500057239,81001,1,200610,46,10.00,23,42540,25,1,3334.5822,1
493938500057239,81001,2,200610,46,3.85,23,42540,26,1,2939.1560,1
024335058909793,81001,1,200610,46,-0.01,23,42540,55,1,4427.8832,2
289120294040984,81001,1,200610,46,6.50,23,29540,77,1,3061.2042,1
289120294040984,81001,2,200610,46,8.00,23,29540,77,1,2922.4736,1
499968705090219,81001,3,200610,46,12.00,23,10900,36,1,3019.8395,1
724251054909395,80001,3,200610,46,4.00,23,42540,24,2,3245.5858,1
077694220989897,82001,1,200610,46,-0.01,23,37980,41,1,3497.7362,1
613919080109107,81001,1,200610,46,-0.01,58,12060,50,1,3157.4738,1
229196529300916,82001,3,200610,46,-0.01,58,0,16,2,3209.3510,2
830409953362978,81001,3,200610,46,10.00,22,35620,22,1,2118.3288,1
992119250209401,80001,1,200610,46,-0.01,23,37980,45,1,3040.0900,2
165984607052309,80001,3,200610,46,7.25,58,16860,17,2,2918.7694,1
389160434080941,80001,4,200610,46,7.10,58,12060,21,1,3361.6545,1
489050754740943,80001,2,200610,46,5.50,22,12100,44,2,2366.7572,1
804589160999308,80001,1,200610,46,-0.01,22,35620,38,1,3496.6902,1
556529380109305,81001,1,200610,46,-0.01,21,35620,26,2,3467.5787,1
556529380109305,81001,2,200610,46,9.50,21,35620,28,2,3548.2450,1
563536082909760,82001,5,200610,46,-0.01,21,28740,19,2,3225.3192,1
563536082909760,82001,6,200610,46,-0.01,21,28740,20,2,3318.6336,1
299600489180914,82001,1,200610,46,-0.01,23,0,75,2,2622.4814,2
852309640159409,80001,3,200610,46,7.00,23,37980,16,2,3022.4098,1
370922096441439,82001,3,200610,46,-0.01,23,0,17,2,2715.3444,1
019314520993798,80001,1,200610,46,-0.01,23,0,72,2,3005.2813,2
906906634993322,80001,1,200610,46,-0.01,23,25420,53,2,2603.0850,1
624294031905797,82001,3,200610,46,-0.01,23,37980,17,2,2721.9824,1
427461879200931,82001,2,200610,46,-0.01,23,0,44,2,2512.5849,1
399420785180911,82001,3,200610,46,-0.01,58,12060,17,2,2821.0843,1
810932094711859,82001,1,200610,46,-0.01,58,12060,47,1,2904.2013,1
813169760919101,80001,1,200610,46,-0.01,58,12060,23,1,3220.9652,1
410309953330597,80001,1,200610,46,6.85,58,0,26,1,3161.9276,1
031044013908995,82001,2,200610,46,-0.01,58,12060,38,1,3240.1601,1
873259140489101,80001,3,200610,46,7.25,58,12060,16,1,2641.7608,1
973629050749104,80001,2,200610,46,-0.01,58,12060,49,2,2904.2013,1
310309927080059,82001,1,200610,46,-0.01,58,12060,38,2,3221.1887,1
731025024909495,80002,2,200610,46,9.50,58,12060,35,1,2925.4579,1
903139710529105,82001,1,200610,46,-0.01,58,12060,40,1,3088.9182,1
903139710529105,82001,2,200610,46,-0.01,58,12060,32,1,2968.9941,1
231015032907597,82001,2,200610,46,-0.01,58,12060,18,2,3130.3971,1
600934095311749,82001,2,200610,46,-0.01,58,46660,42,2,2793.9415,1
016111530994798,80001,1,200610,46,-0.01,58,17980,22,1,4060.0837,1
016111530994798,80001,2,200610,46,-0.01,58,17980,20,1,4060.0837,1
016111530994798,80001,3,200610,46,-0.01,58,17980,19,2,3347.4267,1
016111530994798,80001,6,200610,46,-0.01,58,17980,20,1,3096.5683,1
740131000912400,82001,1,200610,46,-0.01,58,12060,46,1,4379.3743,1
014091230014700,82001,1,200610,46,-0.01,58,12060,65,2,2468.4858,1
163830240210105,80001,1,200610,46,10.50,58,12060,36,1,2658.8763,1
499460455040913,82001,4,200610,46,-0.01,22,37980,18,2,3153.2933,2
302907053994324,82001,1,200610,46,-0.01,22,37980,32,1,3721.4897,1
927391629400732,82001,2,200610,46,-0.01,22,35620,50,1,3662.8181,1
343446094909299,80001,1,200610,46,7.15,22,35620,27,1,2851.1079,1
981004989359090,80001,6,200610,46,-0.01,22,37980,20,2,3400.5600,1
479050321270973,80002,1,200610,46,-0.01,22,35620,40,2,2862.9159,1
330409933144380,82001,4,200610,46,-0.01,22,35620,30,1,2523.6918,1
880947091631669,82001,1,200610,46,-0.01,22,35620,61,1,2982.5147,1
880947091631669,82001,2,200610,46,-0.01,22,35620,30,1,3689.7521,1
843467056909493,80002,3,200610,46,-0.01,22,35620,17,2,3160.7524,1
045393340997894,82001,3,200610,46,-0.01,22,35620,20,2,4041.3478,1
924379670259304,80001,4,200610,46,-0.01,22,35620,28,1,2870.3177,1
543489086909395,80001,1,200610,46,-0.01,22,35620,58,1,2475.6922,1
057863260966091,82001,1,200610,46,-0.01,21,35620,24,1,3969.2148,1
392943708031658,82001,1,200610,46,-0.01,21,35620,56,1,5022.8167,1
430609925029644,80002,3,200610,46,-0.01,21,35620,53,1,3385.3803,1
398994700090639,80001,1,200610,46,-0.01,21,35620,50,1,3141.6618,1
420166097638779,81001,1,200610,46,8.00,21,35620,42,1,2775.9322,1
730609941982183,80001,1,200610,46,-0.01,21,40380,24,2,3745.8896,1
396981905059650,82001,1,200610,46,-0.01,21,35620,25,1,3937.2541,1
763845012902190,82001,1,200610,46,-0.01,21,35620,35,1,3135.1568,1
024473860903895,81001,1,200610,46,6.75,21,35620,23,2,3463.0442,1
465398129600978,80001,3,200610,46,-0.01,21,15380,20,1,3205.9474,1
908909543995856,81001,1,200610,46,-0.01,21,39100,20,-1,3956.9738,3
397992601025649,82001,3,200610,46,-0.01,21,45060,18,2,2670.4108,2
944096871389790,81001,3,200610,46,15.00,21,45060,22,1,3883.9741,1
007243460900398,80002,2,200610,46,-0.01,21,35620,55,1,2835.0483,1
005033660913090,80001,1,200610,46,-0.01,21,35620,29,1,3414.0212,1
005033660913090,80001,2,200610,46,-0.01,21,35620,29,1,3414.0212,1
005033660913090,80001,4,200610,46,-0.01,21,35620,25,1,3414.0212,1
005033660913090,80001,5,200610,46,-0.01,21,35620,23,1,3817.7750,1
005033660913090,80001,6,200610,46,-0.01,21,35620,23,1,3217.5982,1
942086759359850,80001,2,200610,46,-0.01,21,35620,19,1,2859.3838,1
972026920379750,80001,3,200610,46,-0.01,21,0,16,2,3095.8775,2
394975407030646,80001,1,200610,46,-0.01,21,35620,41,1,3735.4012,1
394975407030646,80001,2,200610,46,-0.01,21,35620,39,1,3767.3049,1
699130589880953,80001,2,200610,46,-0.01,21,35620,41,1,3552.1795,1
