HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
967033962139960,80001,1,200609,46,-0.01,58,0,49,-1,2402.8475,3
104083405093371,80001,1,200609,46,7.00,58,42340,47,1,3394.0107,1
818197249300898,82001,3,200609,46,-0.01,58,12060,51,2,2876.3983,1
870931097111369,82001,3,200609,46,-0.01,58,31420,19,1,2842.5636,2
399630293840911,82001,1,200609,46,-0.01,58,0,25,2,3374.1144,1
063571530991897,80001,1,200609,46,-0.01,58,12060,22,1,3465.3762,1
983179650539107,80001,1,200609,46,-0.01,58,12060,33,1,3250.4904,1
237396219400872,80001,3,200609,46,-0.01,22,37980,18,-1,3390.5836,3
643482086909591,80001,1,200609,46,-0.01,22,37980,22,1,4210.1816,1
643482086909591,80001,3,200609,46,-0.01,22,37980,19,1,2926.0352,1
643482086909591,80001,4,200609,46,-0.01,22,37980,22,1,4210.1816,1
964229170729307,81001,2,200609,46,11.71,22,37980,62,1,2390.7467,1
339398409400831,80001,1,200609,46,11.50,22,37980,31,1,2836.5365,1
390983304039418,80001,2,200609,46,-0.01,22,37980,35,1,2474.7701,2
499770207730953,80001,2,200609,46,-0.01,22,35620,54,1,2749.8688,1
930848094238789,81001,1,200609,46,-0.01,22,35620,47,1,2530.8986,2
854609820019306,82001,1,200609,46,-0.01,22,35620,51,2,2787.7528,1
405908453896384,80001,1,200609,46,-0.01,22,35620,44,1,3582.7065,1
830609977619193,81001,1,200609,46,-0.01,21,39100,60,1,2274.6663,1
686749420359309,82001,2,200609,46,-0.01,21,15380,24,1,3265.1024,1
957390949600597,80001,1,200609,46,-0.01,21,15380,32,1,3919.8950,1
055393560698498,80001,4,200609,46,-0.01,21,0,15,2,0.0000,1
480962097337519,81001,1,200609,46,-0.01,21,35620,32,1,3039.2377,2
780399088600993,81001,1,200609,46,-0.01,21,35620,34,1,3255.4840,1
780399088600993,81001,2,200609,46,-0.01,21,35620,61,1,2832.5363,1
780399088600993,81001,3,200609,46,-0.01,21,35620,30,1,3255.4840,1
012313360979894,80001,2,200609,46,-0.01,21,40380,17,-1,3010.3256,3
082643560994093,80001,1,200609,46,-0.01,21,40380,56,2,3008.7479,2
686949180329301,81001,3,200609,46,-0.01,21,40380,18,2,3412.1854,1
686949180329301,81001,4,200609,46,-0.01,21,40380,23,1,3214.4229,1
010013460980999,80001,3,200609,46,-0.01,21,35620,21,2,3814.7548,1
763221001901698,82001,1,200609,46,-0.01,21,35620,34,1,3948.9384,1
040523160926599,82001,1,200609,46,-0.01,21,35620,60,1,3163.1421,1
040523160926599,82001,2,200609,46,-0.01,21,35620,60,1,3642.8450,1
944096871389790,81001,3,200609,46,-0.01,21,45060,22,2,3734.1308,1
530609933405353,80001,2,200609,46,-0.01,21,35620,55,1,3672.1640,1
005033660913090,80001,1,200609,46,-0.01,21,35620,29,1,3336.1955,1
005033660913090,80001,2,200609,46,-0.01,21,35620,29,1,3336.1955,1
005033660913090,80001,4,200609,46,-0.01,21,35620,24,1,3576.5344,1
005033660913090,80001,5,200609,46,-0.01,21,35620,23,1,3576.5344,1
005033660913090,80001,6,200609,46,-0.01,21,35620,22,1,3851.9324,1
076953560995498,80001,2,200609,46,-0.01,21,10580,42,2,3642.4471,1
870967097937969,81001,1,200609,46,9.00,21,0,33,1,2773.4219,1
391962903092657,82001,4,200609,46,-0.01,21,35620,19,2,3093.8691,1
962679970639402,81001,3,200609,46,9.00,23,0,26,1,2894.1830,1
902032811449200,80001,1,200609,46,-0.01,23,37980,35,2,3001.6494,1
289840552350944,80001,1,200609,46,-0.01,23,10900,33,1,2829.9537,1
493938500057239,81001,1,200609,46,-0.01,23,42540,25,1,3107.6198,1
493938500057239,81001,2,200609,46,-0.01,23,42540,26,1,2820.3615,1
902739530759407,80001,1,200609,46,-0.01,23,38300,56,1,3158.3754,1
992119250209401,80001,1,200609,46,-0.01,23,37980,45,1,2915.4525,2
830409953362978,81001,3,200609,46,-0.01,22,35620,22,1,2010.5506,1
299600489180914,82001,1,200609,46,-0.01,23,0,75,2,2572.1343,2
164984707082309,80001,1,200609,46,-0.01,58,0,21,1,2566.8866,1
731808074909264,80001,2,200609,46,-0.01,58,0,17,1,2337.1933,2
001451130997591,82001,2,200609,46,-0.01,58,42340,19,1,2647.2296,1
631398067908997,81001,2,200609,46,-0.01,58,12060,58,1,4033.3160,1
229196529300916,82001,3,200609,46,-0.01,58,0,16,2,3114.3451,2
399540364070911,82001,2,200609,46,-0.01,58,46660,26,2,3687.0433,1
740131000912400,82001,1,200609,46,-0.01,58,12060,46,1,4052.4235,1
014091230014700,82001,1,200609,46,-0.01,58,12060,65,2,2634.4646,1
543332085908790,80001,4,200609,46,-0.01,22,35620,18,2,2801.5522,1
942004951359690,80001,2,200609,46,-0.01,22,35620,42,1,2671.4087,1
747396839400931,80001,2,200609,46,-0.01,22,35620,47,1,2501.0862,1
943480006909995,80001,5,200609,46,-0.01,22,35620,16,2,3287.4714,1
060943090637229,81001,1,200609,46,22.00,22,35620,47,1,2924.5998,1
063141063906399,80001,2,200609,46,7.00,21,35620,30,1,3016.7314,1
398994700090639,80001,1,200609,46,-0.01,21,35620,50,1,3137.6465,1
907006039389890,81002,2,200609,46,-0.01,21,35620,32,1,3255.4840,1
052843460984190,80001,1,200609,46,-0.01,21,40380,35,2,3089.4766,1
663155082907193,82001,5,200609,46,-0.01,21,35620,34,2,4031.3990,1
830609942571792,81001,3,200609,46,-0.01,21,15380,19,1,2601.1059,1
430609925250391,80001,1,200609,46,-0.01,21,0,51,1,3751.3001,1
430609925250391,80001,2,200609,46,-0.01,21,0,51,1,2653.5795,1
430609925250391,80001,3,200609,46,-0.01,21,0,25,1,3329.0022,1
241395059600932,80001,1,200609,46,-0.01,21,0,33,1,3431.2312,1
063523024909195,80001,2,200609,46,-0.01,21,0,60,1,2703.5516,1
163214075908391,80001,3,200609,46,-0.01,21,35620,22,1,3927.3395,1
647056975339810,80001,1,200609,46,-0.01,21,35620,29,1,2913.7089,1
391963903092655,80002,1,200609,46,17.85,21,35620,40,1,3081.9307,1
630563099938289,81001,3,200609,46,-0.01,21,35620,24,1,2563.7568,2
976469070389303,81001,1,200609,46,-0.01,21,28740,62,1,3382.9561,1
440209958698145,80001,2,200609,46,-0.01,23,38300,41,1,2708.3054,1
052134620953094,80001,2,200609,46,-0.01,23,38300,47,1,2691.3628,1
494958209075299,81001,1,200609,46,-0.01,23,0,27,1,2700.7529,1
972389150399401,80003,2,200609,46,-0.01,23,0,43,2,2647.2736,1
