HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
031339006909997,81001,3,200608,46,10.00,58,42340,19,2,2640.4710,1
902909361998673,80001,1,200608,46,-0.01,58,12060,56,1,3024.0084,1
091861830012809,81001,1,200608,46,-0.01,58,12060,45,1,3548.3885,1
998003948179830,81001,1,200608,46,-0.01,58,16860,30,1,3330.7209,1
964229170729307,81001,2,200608,46,-0.01,22,37980,62,1,2423.8613,1
880947091631669,82001,1,200608,46,-0.01,22,35620,61,1,3081.4078,1
880947091631669,82001,2,200608,46,-0.01,22,35620,30,1,3755.9132,1
747396839400931,80001,2,200608,46,-0.01,22,35620,47,1,2612.3576,1
395946009009489,81001,3,200608,46,4.25,22,35620,18,2,2773.0003,1
063141063906399,80001,2,200608,46,-0.01,21,35620,30,1,3512.9341,1
303904103691696,80001,1,200608,46,-0.01,21,35620,44,1,3272.2111,2
679100701300933,80002,1,200608,46,-0.01,21,35620,40,1,3000.7536,1
663938078907493,81001,1,200608,46,-0.01,21,35620,40,1,4041.5073,1
396951005091636,82001,1,200608,46,-0.01,21,15380,47,1,2936.7422,1
896849020999303,80001,1,200608,46,4.50,21,15380,21,1,3186.6392,1
926809030589302,80001,4,200608,46,-0.01,21,35620,16,2,2897.1990,1
398996700090634,81001,3,200608,46,6.75,21,35620,20,1,3138.3796,1
466849570739300,81001,2,200608,46,-0.01,21,35620,32,1,3140.6342,1
686949180329301,81001,3,200608,46,-0.01,21,40380,18,2,3284.3648,1
686949180329301,81001,4,200608,46,-0.01,21,40380,23,1,3223.2213,1
656979220419308,80001,3,200608,46,7.00,21,35620,20,2,2701.0118,1
007243460900398,80002,2,200608,46,-0.01,21,35620,55,1,3074.6669,1
430609974197494,80002,2,200608,46,-0.01,21,35620,36,1,3471.4921,1
063998067900095,81001,3,200608,46,-0.01,21,35620,28,1,2945.2190,1
391963903092655,80002,1,200608,46,-0.01,21,35620,40,1,3046.5819,1
023873660968891,81001,1,200608,46,-0.01,21,35620,28,1,4319.7511,1
224033042904195,80001,1,200608,46,-0.01,23,38300,40,2,2559.2404,2
941492969200758,80001,4,200608,46,-0.01,23,38300,18,2,2754.8865,1
962679970639402,81001,3,200608,46,-0.01,23,0,26,1,2991.4546,1
659052987469820,81001,3,200608,46,5.50,23,0,17,2,2324.9532,1
902032811449200,80001,1,200608,46,-0.01,23,37980,35,2,3209.8307,1
498934609065289,80001,2,200608,46,-0.01,23,37980,40,1,2828.3648,1
289840552350944,80001,1,200608,46,-0.01,23,10900,33,1,2879.5788,1
140209927856469,82001,1,200608,46,-0.01,23,37980,80,1,3682.3559,1
902739530759407,80001,1,200608,46,-0.01,23,38300,56,1,3231.0707,1
499926909074269,81001,2,200608,46,7.00,23,38300,19,1,2818.5871,1
965072974479660,81001,1,200608,46,-0.01,23,38300,49,1,2774.4077,2
843467056909493,81001,4,200608,46,6.50,22,35620,16,2,3072.8296,1
056303760018004,81001,1,200608,46,-0.01,21,35620,57,1,4807.8796,1
918042970479310,81001,3,200608,46,-0.01,23,37980,21,2,3110.3679,1
210780925650064,81001,3,200608,46,-0.01,23,0,18,1,2547.7183,2
389160434080941,80001,4,200608,46,-0.01,58,12060,21,2,3490.8085,1
556529380109305,81001,1,200608,46,-0.01,21,35620,26,2,3824.3269,1
556529380109305,81001,2,200608,46,-0.01,21,35620,28,2,3382.8770,1
070622096946969,81001,3,200608,46,-0.01,23,38300,18,2,2933.5990,2
628492659200748,80001,3,200608,46,5.00,23,10900,16,2,2808.7663,1
164984707082309,80001,1,200608,46,-0.01,58,0,21,1,2772.2266,1
731808074909264,80001,2,200608,46,-0.01,58,0,17,1,2298.4671,2
204600871998743,80001,1,200608,46,-0.01,58,0,38,2,2152.9125,1
903919270229104,81001,1,200608,46,-0.01,58,42340,38,2,2277.2155,1
631398067908997,81001,2,200608,46,-0.01,58,12060,58,1,3553.6427,1
873259140489101,80001,3,200608,46,-0.01,58,12060,16,2,2605.9031,1
973629050749104,80001,2,200608,46,-0.01,58,12060,49,1,2886.4557,1
972043964159070,80001,3,200608,46,-0.01,58,12060,17,2,2820.0024,2
846198449300743,80001,3,200608,46,-0.01,58,12060,20,2,3008.3932,1
846198449300743,80001,4,200608,46,-0.01,58,12060,22,2,3008.3932,1
