HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
489130524710943,81001,1,200606,46,-0.01,22,37980,29,1,3051.6416,2
994529650409301,81001,3,200606,46,-0.01,22,35620,22,1,3972.4062,1
649460455040913,80001,2,200606,46,-0.01,21,35620,40,2,4461.7811,2
363629096909893,81001,2,200606,46,-0.01,21,35620,20,1,3160.6781,1
363629096909893,81001,3,200606,46,-0.01,21,35620,18,1,2669.1900,1
024541014909293,81001,3,200606,46,7.75,23,25420,21,2,3128.8820,1
440209965564993,81001,2,200606,46,5.00,23,0,31,2,2802.2587,1
239330493800944,81001,2,200606,46,8.00,23,37980,25,1,3502.4865,1
983159450529101,81001,1,200606,46,-0.01,58,10500,46,1,3731.1470,1
968194999300949,81001,6,200606,46,-0.01,58,0,34,1,2435.2859,2
010121530995792,81001,1,200606,46,-0.01,58,12260,26,1,3547.0184,1
010121530995792,81001,2,200606,46,-0.01,58,12260,31,2,3203.7196,1
543905044909791,81001,3,200606,46,7.00,22,37980,17,2,5128.8057,1
366390879400918,81001,1,200606,46,-0.01,22,35620,46,2,2957.3634,1
366390879400918,81001,2,200606,46,-0.01,22,35620,47,1,3473.7587,1
609760647270943,81001,2,200606,46,6.50,21,35620,22,2,3634.3066,1
404900293496256,81001,2,200606,46,-0.01,21,35620,54,1,4441.8929,1
601902273191086,80002,1,200606,46,-0.01,21,35620,33,1,4728.3951,1
016392789600112,80001,2,200606,46,-0.01,21,35620,43,1,3757.8430,1
840209920585999,79001,3,200606,46,9.50,23,21500,27,1,3169.5735,1
840209920585999,79001,7,200606,46,6.75,23,21500,25,1,3117.7031,1
624284062907895,80001,1,200606,46,-0.01,23,10900,41,1,2842.4502,1
624284062907895,80001,2,200606,46,-0.01,23,10900,38,2,2611.0916,1
624284062907895,80001,3,200606,46,-0.01,23,10900,18,1,2565.2818,1
624284062907895,80001,4,200606,46,-0.01,23,10900,15,2,0.0000,1
908072807449320,81001,3,200606,46,-0.01,23,37980,20,-1,3454.5896,3
850925090943069,80001,3,200606,46,-0.01,23,10900,17,2,3082.9196,1
324722095905891,81001,1,200606,46,-0.01,23,37980,23,1,3187.3816,2
324722095905891,81001,2,200606,46,-0.01,23,37980,21,2,3150.1909,1
289800461530944,81001,2,200606,46,6.50,23,38300,18,2,2993.7666,1
299430333070954,81001,4,200606,46,-0.01,23,38300,17,2,2749.1663,1
499926909074269,81001,2,200606,46,-0.01,23,38300,18,2,2817.3361,1
814495539200887,80001,6,200606,46,-0.01,23,49620,16,2,2594.2994,1
952106960300164,81001,1,200606,46,-0.01,58,12060,31,1,4330.1466,1
952106960300164,81001,2,200606,46,-0.01,58,12060,37,1,3278.1442,1
615192369300847,80001,2,200606,46,-0.01,58,12060,20,2,3147.8338,1
810309935649095,79001,3,200606,46,10.50,58,12060,43,2,2734.3435,1
531640058909391,79001,5,200606,46,6.00,58,17980,17,2,2809.4926,1
391934305045479,81001,2,200606,46,7.60,22,35620,51,2,2620.5845,1
900068097938309,79001,2,200606,46,6.15,21,35620,17,1,2914.3013,1
900068097938309,79001,6,200606,46,6.15,21,35620,24,1,3181.7534,1
024473860903895,79001,3,200606,46,-0.01,21,35620,38,1,2908.8307,1
497955706027268,81001,3,200606,46,-0.01,23,37980,26,1,2804.4615,1
952619750099406,81001,1,200606,46,-0.01,23,25420,22,1,2971.1291,1
452496029200849,81001,2,200606,46,-0.01,23,25420,27,1,3134.1649,1
628492659200748,80001,3,200606,46,-0.01,23,10900,16,2,2854.5790,1
440209909947190,81001,2,200606,46,-0.01,23,0,42,-1,3108.9237,3
497986505071299,81001,1,200606,46,-0.01,23,0,43,1,2616.5442,1
497986505071299,81001,3,200606,46,-0.01,23,0,22,2,3105.5882,1
401907274899772,80001,1,200606,46,-0.01,23,38300,33,2,2516.9117,1
399220989370971,81001,2,200606,46,-0.01,58,12060,20,1,3981.4447,2
830932092917799,81001,1,200606,46,-0.01,58,12060,56,1,3087.5980,1
983449170189105,81001,3,200606,46,-0.01,58,0,20,1,2633.9318,2
702907551990993,80002,3,200606,46,-0.01,58,12060,24,2,3915.1366,1
731776008909598,79001,4,200606,46,6.50,58,12060,17,2,3139.5549,1
031044013908995,80001,1,200606,46,-0.01,58,12060,37,1,3143.2742,1
903900801590273,80001,2,200606,46,-0.01,58,12060,22,2,3334.3436,1
408908301994163,79001,2,200606,46,-0.01,58,12060,26,1,3224.5965,1
038321130994996,80001,2,200606,46,-0.01,58,0,47,1,3671.0146,1
803389120869102,80001,10,200606,46,-0.01,58,0,16,2,1803.4165,1
990033925139180,80001,2,200606,46,-0.01,58,12260,21,1,3194.3759,2
042063186140080,81001,1,200606,46,-0.01,58,12060,37,1,3130.8927,1
042253840015705,79001,4,200606,46,7.45,22,12100,22,2,2946.7223,1
343446094909299,81001,1,200606,46,6.15,22,35620,31,1,2293.5895,1
443672082907197,80001,1,200606,46,-0.01,22,35620,31,1,3302.6539,1
343011027908092,81001,1,200606,46,-0.01,22,35620,54,1,3035.9813,1
499680635980973,81001,1,200606,46,-0.01,22,35620,34,1,2814.6880,1
630409961291771,81001,2,200606,46,-0.01,22,35620,43,1,3566.7513,1
047533560990291,81001,3,200606,46,-0.01,21,10580,17,2,2452.5811,1
003173860960091,79001,1,200606,46,7.75,21,35620,41,1,3404.2319,1
689510487140983,79001,1,200606,46,-0.01,21,0,57,1,3063.9876,1
689510487140983,79001,2,200606,46,-0.01,21,0,52,1,3362.3454,1
022243360999091,80002,1,200606,46,-0.01,21,15380,20,2,3378.5080,1
921026994339200,80001,3,200606,46,-0.01,21,15380,19,1,3004.3513,2
395944009009689,81001,2,200606,46,4.35,21,15380,33,2,2793.3919,1
973016996359670,81001,1,200606,46,-0.01,21,0,20,1,3975.9971,1
926809030589302,80001,4,200606,46,-0.01,21,35620,16,2,2803.3836,1
963206024904495,81001,1,200606,46,-0.01,21,35620,42,1,3233.2085,1
362392718600725,81001,1,200606,46,-0.01,21,35620,45,1,4146.6592,1
306047702067671,81001,4,200606,46,-0.01,21,35620,17,2,3141.0162,1
290565092638049,79003,1,200606,46,-0.01,21,35620,39,2,3115.7889,1
290565092638049,79003,2,200606,46,-0.01,21,35620,40,1,3333.6850,1
392986401075689,81001,3,200606,46,-0.01,21,15380,20,1,3064.9002,1
054293360999393,80001,2,200606,46,-0.01,21,46540,57,2,2841.6628,1
054293360999393,80001,3,200606,46,-0.01,21,46540,16,2,3154.5798,1
160394229600909,81001,1,200606,46,-0.01,21,46540,21,2,3200.6869,1
