HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
192926902008339,81001,1,200605,46,-0.01,58,0,47,1,2648.2468,1
923239450069105,81001,2,200605,46,-0.01,58,12060,25,1,4358.0506,1
059463160990282,80001,2,200605,46,-0.01,21,35620,41,1,4422.9511,1
404900293496256,81001,2,200605,46,-0.01,21,35620,54,1,4240.1623,1
430609925029644,81002,2,200605,46,-0.01,21,35620,55,1,3350.9756,1
466849570739300,79002,3,200605,46,-0.01,21,35620,27,1,3611.4395,1
601902273191086,80002,1,200605,46,-0.01,21,35620,33,1,4660.1031,1
016392789600112,80001,2,200605,46,-0.01,21,35620,43,1,3478.7110,1
290961098331839,80001,2,200605,46,-0.01,21,35620,43,1,3799.5980,1
630096917319640,80001,1,200605,46,-0.01,21,0,36,1,2539.4345,1
289220100310944,81001,1,200605,46,-0.01,23,37980,34,2,2916.8028,1
967072799479780,79001,2,200605,46,-0.01,23,37980,36,1,3821.3633,1
140209935584567,80001,1,200605,46,-0.01,23,38300,38,1,2472.4745,1
140209935584567,80001,2,200605,46,-0.01,23,38300,15,2,0.0000,1
060543140994594,80001,2,200605,46,-0.01,22,37980,42,2,3050.0193,1
499530968230973,79001,3,200605,46,7.00,22,35620,18,2,2738.6953,1
673759840609109,81002,2,200605,46,-0.01,58,12060,20,1,3786.5628,1
983159450529101,81001,1,200605,46,-0.01,58,10500,46,1,3941.6927,1
883029760909100,81001,1,200605,46,-0.01,58,12060,25,2,3070.6639,1
206902091996473,81001,3,200605,46,-0.01,58,12060,20,2,2962.5870,1
716106020300140,80001,2,200605,46,-0.01,58,0,20,2,2687.9970,1
943606072907695,80001,1,200605,46,-0.01,22,35620,52,1,3173.5606,1
243033044907195,81001,3,200605,46,-0.01,22,35620,21,2,2864.6778,1
499460455040913,80001,3,200605,46,-0.01,22,37980,25,1,3311.7086,1
310944099633619,81001,1,200605,46,8.00,22,35620,56,1,2701.1817,1
310944099633619,81001,2,200605,46,4.10,22,35620,34,1,2895.3921,1
343446094909299,81001,1,200605,46,-0.01,22,35620,30,1,2235.3732,1
392902203010419,80002,1,200605,46,-0.01,22,35620,22,1,3233.9382,1
052133740977290,79001,1,200605,46,6.00,22,35620,41,1,2839.3549,1
366390879400918,81001,1,200605,46,-0.01,22,35620,46,2,2882.7855,1
366390879400918,81001,2,200605,46,-0.01,22,35620,46,1,3298.9798,1
590943092737759,79001,1,200605,46,-0.01,22,45940,49,1,4008.0565,1
230409977619173,80001,3,200605,46,-0.01,22,35620,16,2,2910.5088,1
397912709013467,80001,2,200605,46,-0.01,22,35620,46,1,3210.9521,1
397912709013467,80001,3,200605,46,-0.01,22,35620,22,1,3122.8322,2
750944097737639,79001,1,200605,46,10.50,22,35620,26,1,3288.2073,1
047533560990291,81001,3,200605,46,-0.01,21,10580,17,2,2665.4614,1
689510487140983,79001,1,200605,46,-0.01,21,0,57,1,2978.7794,1
689510487140983,79001,2,200605,46,-0.01,21,0,51,1,3362.5805,1
696059240389304,81001,1,200605,46,-0.01,21,15380,24,1,4008.4286,1
395944009009689,81001,2,200605,46,-0.01,21,15380,33,2,3121.1925,1
391923307022655,81001,1,200605,46,9.00,21,35620,31,1,3155.1025,1
963206024904495,81001,1,200605,46,-0.01,21,35620,42,1,3306.9166,1
390924008025687,81001,1,200605,46,-0.01,21,35620,65,2,3796.8944,1
390924008025687,81001,2,200605,46,-0.01,21,35620,61,1,4410.2992,1
053703760948694,79001,1,200605,46,-0.01,21,35620,40,1,3099.6275,1
053703760948694,79001,2,200605,46,-0.01,21,35620,44,1,3099.6275,1
080093860903997,79002,1,200605,46,-0.01,21,35620,36,1,3386.7558,1
699560026320973,79001,2,200605,46,15.00,21,40380,39,2,3103.5946,1
230966095037269,79001,2,200605,46,-0.01,21,40380,19,2,2818.2583,2
263144008909895,79002,3,200605,46,-0.01,21,40380,23,1,4110.1217,1
130609908227116,80002,1,200605,46,-0.01,21,35620,52,1,3549.1918,1
699650169340953,81001,2,200605,46,-0.01,21,15380,17,2,3256.4264,1
996329350559301,81001,2,200605,46,-0.01,21,39100,47,1,3089.0399,1
463595088909995,79001,1,200605,46,-0.01,21,39100,34,1,3089.2440,1
130609904788988,80001,3,200605,46,-0.01,21,45060,35,1,3138.1014,1
699610468590973,79001,5,200605,46,7.00,21,45060,19,2,3031.9261,1
656979220419308,80001,3,200605,46,-0.01,21,35620,20,2,2492.8360,1
035333360994083,81001,1,200605,46,-0.01,21,35620,68,-1,4037.5822,3
005903053393006,81001,2,200605,46,-0.01,21,35620,25,1,3615.3935,1
005903053393006,81001,3,200605,46,-0.01,21,35620,28,1,3526.6607,1
639910962350943,81001,2,200605,46,-0.01,21,35620,55,1,2954.1374,1
023873660968891,81001,1,200605,46,-0.01,21,35620,28,1,3953.7184,1
740209924593062,79001,3,200605,46,2.85,23,38300,25,1,3214.0580,1
740209924593062,79001,4,200605,46,2.85,23,38300,19,2,2688.6425,1
912299270769403,79001,3,200605,46,-0.01,23,11020,17,-1,2636.7140,3
919032788459450,81001,3,200605,46,-0.01,23,37980,21,2,3650.4717,1
029384820963493,79001,3,200605,46,-0.01,23,37980,51,1,2629.2944,1
240209957658193,80001,1,200605,46,-0.01,23,0,27,1,3055.5303,1
495996606000259,81001,1,200605,46,-0.01,23,42540,40,2,2964.1858,1
971042939439900,81001,1,200605,46,12.00,23,37980,27,1,3826.1585,1
008903164799912,79001,1,200605,46,-0.01,23,37980,44,1,2810.1112,1
820827093346609,81001,2,200605,46,-0.01,23,10900,49,1,2887.9660,1
239330493800944,81001,2,200605,46,-0.01,23,37980,25,2,3055.6825,1
324722095905891,81001,1,200605,46,-0.01,23,37980,23,1,3548.7505,2
324722095905891,81001,2,200605,46,-0.01,23,37980,21,2,3076.4217,1
902999530869407,81001,1,200605,46,2.83,23,0,41,2,2743.1702,1
031197017908190,79001,2,200605,46,-0.01,58,12060,16,2,2652.1413,2
031197017908190,79001,3,200605,46,-0.01,58,12060,16,2,2652.1413,2
399910877570951,81001,2,200605,46,-0.01,58,12060,49,2,2786.2163,1
840932099013559,81001,4,200605,46,5.32,58,17980,19,1,2734.3920,1
399210271050951,81001,1,200605,46,-0.01,58,12260,22,1,3927.1899,1
489130524710943,81001,1,200605,46,-0.01,22,37980,29,1,3336.1850,2
966094926359010,81001,1,200605,46,-0.01,22,37980,24,1,3338.5225,1
394994707044619,81001,1,200605,46,-0.01,21,35620,47,2,3912.6951,1
430609913888529,81001,1,200605,46,-0.01,21,35620,66,1,2992.2836,1
430609913888529,81001,2,200605,46,-0.01,21,35620,85,2,2941.4482,1
163210840500101,81001,1,200605,46,-0.01,58,12060,39,1,2933.6701,1
367195089300999,81001,1,200605,46,-0.01,58,12060,21,2,3585.9374,1
531441078909593,79001,2,200605,46,-0.01,58,12060,64,2,3965.5297,2
040491730971594,79001,1,200605,46,-0.01,58,12060,32,1,3424.6694,1
070901130990892,80001,2,200605,46,-0.01,58,12060,55,1,2786.8098,1
399370505210911,80001,2,200605,46,-0.01,58,12060,35,1,4158.2428,1
804907581793143,81001,2,200605,46,-0.01,58,12060,30,1,2624.8704,1
163830240210105,81001,3,200605,46,-0.01,58,12060,17,2,2783.9405,1
068281330991990,81001,1,200605,46,6.50,58,12060,28,1,4096.5712,1
302904373991064,80001,1,200605,46,-0.01,22,35620,56,1,2451.1009,1
924869430849306,81001,1,200605,46,7.00,22,37980,62,1,2502.7479,1
061392259400937,81001,1,200605,46,-0.01,22,35620,30,1,3924.4323,1
630940092031069,80001,1,200605,46,-0.01,22,35620,52,1,2700.5481,1
630940092031069,80001,4,200605,46,-0.01,22,35620,20,2,3724.3639,1
954729370599307,79001,1,200605,46,-0.01,22,45940,36,1,2497.5296,2
391974809013439,81001,2,200605,46,-0.01,22,35620,24,1,4601.2599,1
060945091637059,79001,4,200605,46,8.00,22,10900,18,2,2738.6953,1
649460455040913,80001,2,200605,46,-0.01,21,35620,40,1,4422.9511,1
391942305059619,80002,2,200605,46,-0.01,21,0,20,1,2883.8747,2
390993409039686,81001,1,200605,46,-0.01,21,15380,46,1,3307.2497,1
390993409039686,81001,2,200605,46,-0.01,21,15380,35,1,3103.5946,1
973016996359670,81001,1,200605,46,-0.01,21,0,20,1,3915.1120,1
813364559600898,80001,1,200605,46,-0.01,21,0,55,1,3929.2438,1
655096973319560,80001,3,200605,46,-0.01,21,0,19,2,3333.8600,1
362392718600725,81001,1,200605,46,-0.01,21,35620,40,1,3208.8655,1
942096706379520,79001,1,200605,46,7.75,21,35620,44,1,3149.4374,1
397916408037619,81001,1,200605,46,-0.01,21,40380,43,1,3049.3027,1
956016329329310,80001,2,200605,46,-0.01,21,35620,26,1,3172.0411,1
706900343996746,81001,7,200605,46,-0.01,21,35620,22,2,3382.0033,1
960167091732889,80001,2,200605,46,-0.01,21,35620,21,1,2492.8360,1
076873260918991,80001,1,200605,46,-0.01,21,35620,30,1,3238.4109,1
076873260918991,80001,2,200605,46,-0.01,21,35620,25,1,3044.1541,1
965006879389870,79001,1,200605,46,-0.01,21,45060,50,1,3695.0953,1
965006879389870,79001,2,200605,46,-0.01,21,45060,70,1,3217.3970,1
965006879389870,79001,3,200605,46,-0.01,21,45060,35,1,3728.5708,1
290361098334839,81001,3,200605,46,-0.01,21,35620,35,1,2786.1006,1
395997600080690,79001,1,200605,46,7.50,21,35620,45,2,3810.1202,1
392926507040669,81001,2,200605,46,-0.01,21,10580,19,1,2930.8195,2
363629096909893,81001,2,200605,46,-0.01,21,35620,20,2,3382.0033,1
990863092332199,80001,2,200605,46,-0.01,21,35620,37,1,2814.3881,1
224570068909995,79001,1,200605,46,-0.01,23,38300,26,1,3497.2122,1
289350246710984,79001,3,200605,46,-0.01,23,39740,22,1,3096.8474,1
