HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
499530968230973,79001,3,200603,46,-0.01,22,35620,18,2,3078.2401,1
394902909097477,81001,2,200603,46,-0.01,22,35620,38,1,2691.4764,1
226395139600902,81001,3,200603,46,-0.01,21,10580,17,2,3155.8820,1
299820270940954,79001,3,200603,46,6.10,23,42540,17,2,3238.8442,1
299820270940954,79001,5,200603,46,5.85,23,42540,18,2,2906.7544,1
713309210779109,81001,2,200603,46,9.00,58,12060,20,2,4362.5099,1
713309210779109,81001,3,200603,46,8.00,58,12060,42,2,2888.7914,1
193922507016339,81001,3,200603,46,-0.01,58,10500,18,2,2784.1469,1
690631098416139,79002,1,200603,46,-0.01,58,12060,24,1,3412.0176,2
924093826129700,81001,1,200603,46,-0.01,58,12060,35,1,3099.7307,1
924093826129700,81001,2,200603,46,-0.01,58,12060,41,1,2655.3599,1
343891013908395,81001,1,200603,46,-0.01,22,12100,60,1,2579.7590,1
243033044907195,81001,3,200603,46,-0.01,22,35620,21,2,3330.0472,1
430409991771992,81001,1,200603,46,-0.01,22,45940,46,1,2934.9661,1
430409991771992,81001,3,200603,46,-0.01,22,45940,16,2,2840.7974,1
844809520999300,81001,4,200603,46,-0.01,22,35620,17,2,4146.7222,1
844809520999300,81001,5,200603,46,-0.01,22,35620,18,2,2803.9203,1
021395569400993,81001,1,200603,46,-0.01,22,35620,46,1,2961.4720,1
943480006909995,79001,3,200603,46,-0.01,22,35620,20,1,3124.6117,1
649860254230933,81001,1,200603,46,-0.01,21,35620,48,1,3628.1862,1
973016996359670,79002,4,200603,46,-0.01,21,0,22,1,3176.5895,2
699560026320973,79001,2,200603,46,-0.01,21,40380,39,2,3030.9159,1
230966095037269,79001,2,200603,46,-0.01,21,40380,19,2,2860.0691,2
330609952384714,81001,3,200603,46,-0.01,21,35620,19,2,2424.1972,1
960467091735889,79001,1,200603,46,-0.01,21,35620,24,2,3104.9740,1
980086979359480,79001,3,200603,46,8.00,21,45060,20,2,3143.9344,1
956709710659308,81001,3,200603,46,-0.01,21,0,15,2,0.0000,1
324950027906294,79001,1,200603,46,-0.01,23,38300,29,2,3168.6473,1
272499349200605,79001,2,200603,46,-0.01,23,38300,17,2,2330.9766,1
802604624996442,81001,1,200603,46,-0.01,23,0,44,2,2724.9581,1
493911807074228,81001,2,200603,46,5.15,23,25420,17,2,3238.8442,1
240209922718294,81001,3,200603,46,-0.01,23,21500,46,2,2743.5480,1
302902454990852,81001,2,200603,46,-0.01,23,10900,47,1,2817.6196,1
823494559200902,81001,4,200603,46,-0.01,23,10900,51,1,2892.6736,1
095344220939393,81001,1,200603,46,-0.01,23,37980,19,1,2948.5440,1
095344220939393,81001,2,200603,46,-0.01,23,37980,18,1,2893.1398,1
701908683895436,81001,3,200603,46,10.00,21,40380,21,2,3002.1467,1
467912408037219,81001,2,200603,46,-0.01,23,0,33,2,2995.1482,1
424595083908995,81001,2,200603,46,-0.01,23,29540,34,1,2970.1485,1
963379850329107,79001,1,200603,46,-0.01,58,42340,35,2,3479.9237,2
500838093912979,81001,1,200603,46,-0.01,58,12060,43,1,4367.3169,1
410309941761497,81001,1,200603,46,-0.01,58,12060,33,1,2544.9224,1
210931090113229,81001,5,200603,46,-0.01,58,0,35,1,3936.4844,1
020937093511159,81001,4,200603,46,7.00,58,12060,16,2,3032.0529,1
705608111991023,79001,3,200603,46,6.50,58,17980,22,2,3979.6772,1
163830240210105,81001,3,200603,46,-0.01,58,12060,17,2,2941.2146,1
990033925139180,81001,2,200603,46,-0.01,58,12260,30,1,3596.0866,1
933109310119108,81001,1,200603,46,7.00,58,0,35,2,3523.1032,1
806904623996446,79001,3,200603,46,-0.01,21,0,18,2,3140.5539,1
046923460950194,81001,1,200603,46,-0.01,21,15380,32,1,3089.9435,1
696059240389304,81001,1,200603,46,-0.01,21,15380,24,1,3571.6567,1
549393439600905,81001,4,200603,46,-0.01,21,46540,25,1,3399.4418,1
391923307022655,81001,1,200603,46,-0.01,21,35620,30,1,3812.3077,1
530609925029614,79001,3,200603,46,6.00,21,35620,18,2,3451.7295,1
458399529600551,79002,1,200603,46,10.00,21,35620,29,1,3120.6139,1
458399529600551,79002,2,200603,46,16.00,21,35620,26,2,2943.8712,1
053703760948694,79001,1,200603,46,-0.01,21,35620,40,1,3522.4780,1
053703760948694,79001,2,200603,46,-0.01,21,35620,44,1,3522.4780,1
900068097938309,79001,2,200603,46,-0.01,21,35620,17,1,3028.7321,1
986409410889303,81001,3,200603,46,-0.01,21,45060,19,2,2424.5355,2
699610468590973,79001,5,200603,46,-0.01,21,45060,19,2,2984.1673,1
079413860987994,79001,4,200603,46,-0.01,21,45060,18,2,2927.9688,1
430609925250391,81001,3,200603,46,-0.01,21,0,23,2,3431.6555,1
390982408016699,81001,1,200603,46,-0.01,21,35620,50,1,4824.2636,1
390982408016699,81001,2,200603,46,-0.01,21,35620,46,1,4779.9386,1
563043035905393,79001,1,200603,46,9.00,21,35620,32,2,3351.3656,1
563043037901393,79001,1,200603,46,-0.01,21,35620,30,1,3242.8309,1
936629850879301,79002,2,200603,46,9.00,21,10580,22,2,3002.1467,1
397947608004678,79001,1,200603,46,-0.01,21,35620,69,1,3593.2510,1
397947608004678,79001,2,200603,46,-0.01,21,35620,62,1,4280.3903,1
105907703891826,79001,4,200603,46,10.00,21,35620,23,2,3219.0235,1
730609991563962,79001,4,200603,46,-0.01,21,35620,16,2,2909.3058,1
730609991563962,79001,5,200603,46,-0.01,21,35620,16,2,2909.3058,1
023873660968891,79001,1,200603,46,-0.01,21,35620,49,1,3137.4413,1
727495759210912,81011,1,200603,46,-0.01,23,38300,21,2,3271.5146,1
160926098441549,81001,1,200603,46,-0.01,23,38300,36,1,2690.1935,1
299960615770914,81001,4,200603,46,-0.01,23,38300,20,-1,3048.6531,3
705905804899522,79001,1,200603,46,2.83,23,25420,23,2,3275.7704,1
705905804899522,79001,2,200603,46,-0.01,23,25420,21,1,2896.6284,1
289920028230964,79001,3,200603,46,-0.01,23,25420,17,2,2911.0660,1
029384820963493,79001,3,200603,46,-0.01,23,37980,51,1,2595.4582,1
977052993459020,79001,1,200603,46,3.50,23,21500,25,2,3136.8971,1
492926800054289,79001,1,200603,46,-0.01,23,21500,46,1,2918.4458,2
840209920585999,79001,3,200603,46,-0.01,23,21500,27,1,3319.1939,1
063492899200951,79001,2,200603,46,-0.01,23,10900,22,1,3051.3165,1
601902144890582,81001,2,200603,46,-0.01,23,37980,42,2,2817.4628,1
516491489200802,81001,4,200603,46,6.50,23,37980,18,2,3261.8768,1
008903164799912,79001,1,200603,46,-0.01,23,37980,44,2,2882.5412,1
008903164799912,79001,2,200603,46,-0.01,23,37980,43,1,3082.8284,1
323499839200740,81001,1,200603,46,-0.01,23,37980,18,1,2698.0782,1
902999530869407,81001,1,200603,46,-0.01,23,0,41,2,2818.9377,1
918052834449060,81001,3,200603,46,-0.01,23,38300,19,2,2937.5557,2
524634088909190,79001,3,200603,46,-0.01,23,38300,19,2,2787.7807,1
197906409062329,79001,4,200603,46,-0.01,58,12060,19,2,3073.4370,1
207004161100893,79001,1,200603,46,-0.01,58,46660,33,1,3872.3418,1
302909823991416,81001,3,200603,46,-0.01,21,40380,25,2,3387.4824,1
081143160990695,81001,4,200603,46,-0.01,21,35620,15,2,0.0000,2
836079120749306,81001,1,200603,46,-0.01,21,10580,62,2,2415.3910,1
061199369300935,79001,2,200603,46,-0.01,58,12060,57,1,2819.0784,1
966074899349200,81001,2,200603,46,-0.01,22,35620,19,2,2840.7974,1
052133740977290,79001,1,200603,46,-0.01,22,35620,41,1,2132.2506,1
307084108066461,81001,3,200603,46,-0.01,22,35620,18,2,2840.7974,1
391934305045479,81001,2,200603,46,-0.01,22,35620,51,2,2817.1640,1
189397429400798,79001,3,200603,46,-0.01,22,35620,18,2,2811.1793,1
032390639400862,81001,3,200603,46,-0.01,22,35620,18,2,2859.4235,1
088054188320730,81001,2,200603,46,-0.01,22,35620,29,1,2844.6632,1
699830325310653,79001,3,200603,46,6.00,21,0,17,2,3154.3955,1
902901453995316,81001,4,200603,46,-0.01,21,0,18,2,3155.3525,1
396951005091636,81001,4,200603,46,7.00,21,15380,16,1,2968.3049,1
830609989450598,79001,2,200603,46,-0.01,21,0,25,1,3398.8714,1
639820176620943,81001,1,200603,46,-0.01,21,35620,26,1,2567.7648,1
394994707044619,81001,1,200603,46,-0.01,21,35620,47,2,4227.7623,1
763361026907898,79001,1,200603,46,-0.01,21,10580,24,1,3500.3343,1
663719055908890,79001,1,200603,46,9.00,21,35620,57,1,3348.6202,1
016559460969304,79002,2,200603,46,-0.01,21,35620,43,1,3226.9053,1
006907163995896,79001,2,200603,46,-0.01,21,0,25,1,3186.1883,1
992699450019403,79001,4,200603,46,-0.01,23,38300,26,1,3078.5764,1
289220100310944,81001,1,200603,46,-0.01,23,37980,34,1,2953.7525,1
324011025905092,79002,1,200603,46,-0.01,23,37980,22,1,3532.0768,1
932739150559404,79001,1,200603,46,5.15,23,10900,56,2,2781.3516,1
024541014909293,81001,3,200603,46,-0.01,23,25420,20,2,3257.7866,1
918042970479310,79001,2,200603,46,-0.01,23,37980,16,2,3375.6167,1
224223094909096,81001,1,200603,46,-0.01,23,0,66,1,3182.5087,1
120925090447489,79001,3,200603,46,-0.01,23,0,16,2,2657.3421,1
240209979907690,81001,5,200603,46,-0.01,23,42540,20,1,3093.6686,1
005614520998797,79001,2,200603,46,6.25,23,42540,18,2,3238.8442,1
440209965564993,81001,2,200603,46,-0.01,23,0,31,2,2864.3743,1
106909854997572,79001,1,200603,46,-0.01,23,0,23,1,2692.4599,1
967072799479780,79001,2,200603,46,-0.01,23,37980,36,1,3406.4640,1
908032614469250,79001,2,200603,46,-0.01,23,38300,47,1,2865.5961,1
493923305022218,81001,1,200603,46,-0.01,23,25420,42,1,3084.3440,1
839495459200859,81001,3,200603,46,-0.01,23,29540,18,2,3523.6514,2
605904341898283,79002,1,200603,46,5.50,58,42340,20,1,3688.5986,1
904901391799993,81001,2,200603,46,-0.01,58,12060,29,1,3049.2989,1
063131730975990,79001,2,200603,46,-0.01,58,12060,60,1,2666.3763,1
