HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
009931130998994,81001,3,200602,46,-0.01,58,42340,22,2,3799.1992,1
631369044907998,79001,1,200602,46,20.50,58,12060,35,1,3158.7600,1
230609976742647,81001,1,200602,46,-0.01,21,35620,43,1,4616.9706,1
081143160990695,81001,4,200602,46,-0.01,21,35620,15,2,0.0000,1
686819320989305,81001,1,200602,46,-0.01,21,35620,27,1,3722.6260,1
686819320989305,81001,4,200602,46,-0.01,21,35620,20,1,3173.4378,1
686819320989305,81001,5,200602,46,-0.01,21,35620,29,1,3722.6260,1
508902111999633,80001,1,200602,46,6.00,58,12020,29,1,2952.5025,1
198978007065379,80001,3,200602,46,10.00,58,12060,20,2,3155.0057,1
193922507016339,81001,3,200602,46,-0.01,58,10500,18,2,2782.4725,1
643391099400914,79001,2,200602,46,9.00,22,37980,44,2,2421.0524,1
884339760849309,79001,3,200602,46,-0.01,22,37980,33,2,3754.7211,2
230409922103190,81001,2,200602,46,-0.01,22,35620,33,1,3359.6012,1
919034988339450,81001,1,200602,46,-0.01,22,35620,37,1,3047.2793,1
404904213797184,79001,1,200602,46,6.00,22,35620,39,2,2582.1486,1
499530968230973,79001,3,200602,46,-0.01,22,35620,18,2,2776.6107,1
081063740976590,79001,3,200602,46,-0.01,22,35620,19,2,2785.5637,1
032390639400862,81001,3,200602,46,-0.01,22,35620,18,2,2785.5637,1
943480006909995,79001,3,200602,46,-0.01,22,35620,20,2,3212.5968,1
396951005091636,81001,4,200602,46,-0.01,21,15380,16,2,3007.1889,1
973016996359670,79002,1,200602,46,-0.01,21,0,26,2,4439.7404,1
973016996359670,79002,4,200602,46,-0.01,21,0,21,1,3120.1688,1
458399529600551,79002,1,200602,46,-0.01,21,35620,29,1,3062.9538,1
458399529600551,79002,2,200602,46,-0.01,21,35620,26,2,2943.7433,1
430609940534796,79001,3,200602,46,5.50,21,40380,29,2,3801.0266,1
940076285319670,81001,3,200602,46,-0.01,21,35620,15,2,0.0000,1
676809640479305,79001,1,200602,46,10.00,21,35620,47,1,2875.0626,1
330609952384714,81001,3,200602,46,-0.01,21,35620,19,2,2772.6868,1
392978401072659,80001,2,200602,46,8.00,21,15380,43,1,4478.5340,1
980086979359480,79001,3,200602,46,-0.01,21,45060,20,2,3106.8537,1
397982302030669,81001,2,200602,46,-0.01,21,10580,26,1,3235.0305,1
302902454990852,81001,2,200602,46,-0.01,23,10900,47,1,2943.6380,1
095094420981697,79001,2,200602,46,-0.01,23,10900,42,1,3517.0530,2
497957206049283,79001,3,200602,46,-0.01,23,37980,21,1,2924.0548,2
932749350309403,79001,2,200602,46,-0.01,23,38300,54,1,2683.9888,1
908032614469250,79001,2,200602,46,-0.01,23,38300,47,1,2823.1685,1
724674058907696,80001,3,200602,46,2.10,23,38300,22,2,3554.9798,1
724674058907696,80001,4,200602,46,8.00,23,38300,24,1,3554.9798,1
563043032902393,81001,2,200602,46,-0.01,21,35620,45,1,3989.3565,1
305901213894716,79001,3,200602,46,-0.01,21,35620,42,1,2792.5744,1
226395139600902,81001,3,200602,46,-0.01,21,10580,17,2,3219.3284,1
836079120749306,81001,1,200602,46,-0.01,21,10580,62,2,2490.7399,1
065194420983590,79001,3,200602,46,-0.01,23,37980,17,-1,3283.0653,3
299820270940954,79001,3,200602,46,-0.01,23,42540,17,2,3034.2482,1
299820270940954,79001,5,200602,46,-0.01,23,42540,18,2,2872.0551,1
543492759200915,79001,2,200602,46,2.00,23,42540,17,2,3600.6986,1
225164449300903,81001,2,200602,46,-0.01,58,0,23,2,3115.0709,1
605904341898283,79002,1,200602,46,-0.01,58,42340,20,1,3808.2955,1
431357048909690,80001,1,200602,46,7.50,58,42340,41,1,2720.0781,1
500838093912979,81001,1,200602,46,-0.01,58,12060,43,1,4330.7810,1
210309999755097,81001,1,200602,46,-0.01,58,12060,28,1,3236.6206,1
210309999755097,81001,4,200602,46,-0.01,58,12060,28,1,3236.6206,1
989063932179130,79001,9,200602,46,-0.01,58,12060,25,2,4428.3987,1
061199369300935,79001,2,200602,46,-0.01,58,12060,57,1,2708.0471,1
431834084907694,79001,2,200602,46,-0.01,58,12060,61,1,3470.1501,1
107909101897103,79001,2,200602,46,-0.01,58,12060,23,2,3575.5827,1
918063941159170,79001,1,200602,46,-0.01,58,17980,53,1,2608.4762,1
399290515750951,79001,3,200602,46,-0.01,58,0,18,1,4308.0160,2
701903073892774,81001,2,200602,46,-0.01,22,35620,38,1,3399.0379,2
330409912874989,81001,5,200602,46,-0.01,22,35620,35,1,3012.1127,1
430409940899399,79001,4,200602,46,3.00,22,35620,22,2,3318.7637,1
090844099936779,79001,1,200602,46,-0.01,22,35620,51,1,3253.4246,1
699830325310653,79001,3,200602,46,-0.01,21,0,17,2,3126.6925,1
806904623996446,79001,3,200602,46,-0.01,21,0,18,2,3359.3031,1
600965095537559,79001,4,200602,46,-0.01,21,39100,19,2,2901.5056,1
601904023894386,81001,1,200602,46,-0.01,21,40380,27,1,2978.2184,1
601904023894386,81001,2,200602,46,-0.01,21,40380,27,1,3596.8052,1
228394459600786,81001,2,200602,46,-0.01,21,40380,19,2,3219.3284,1
393915601095626,79001,2,200602,46,-0.01,21,35620,59,1,3427.8219,1
975016787359830,79001,1,200602,46,-0.01,21,35620,59,2,3427.8219,1
801908963397176,81001,1,200602,46,-0.01,21,35620,25,2,2943.7433,1
729393209600946,81001,1,200602,46,-0.01,21,46540,59,1,2973.0783,1
048833160994890,81001,1,200602,46,-0.01,21,45060,33,2,3010.6979,1
986409410889303,81001,3,200602,46,-0.01,21,45060,19,2,2541.2777,2
699610468590973,79001,5,200602,46,-0.01,21,45060,19,2,2803.0752,1
990867094138749,80001,2,200602,46,7.00,21,45060,38,2,3139.1476,1
050260090331309,81001,3,200602,46,-0.01,21,35620,20,1,3292.9348,1
007243660950398,79001,2,200602,46,-0.01,21,35620,43,1,4679.5408,1
563043037901393,79001,1,200602,46,-0.01,21,35620,30,1,3536.1400,1
936629850879301,79002,2,200602,46,-0.01,21,10580,22,2,3107.0226,1
763361026907898,79001,1,200602,46,-0.01,21,10580,24,1,3745.2971,1
663719055908890,79001,1,200602,46,-0.01,21,35620,56,1,3427.8219,1
084366869600993,80001,3,200602,46,6.00,21,0,19,2,3527.7866,1
023873660968891,79001,1,200602,46,-0.01,21,35620,49,1,2737.0609,1
527461479200974,81001,3,200602,46,-0.01,23,0,22,1,3242.0946,1
143498359200919,79001,3,200602,46,6.00,23,0,15,2,0.0000,1
992699450019403,79001,4,200602,46,-0.01,23,38300,26,1,2926.2527,1
272499349200605,79001,2,200602,46,-0.01,23,38300,17,2,2656.4624,1
626491909200962,81001,2,200602,46,-0.01,23,38300,19,2,2961.3143,1
802604624996442,81001,1,200602,46,-0.01,23,0,44,2,2631.3711,1
932739150559404,79001,1,200602,46,-0.01,23,10900,56,2,2767.1869,1
493923305022218,81001,1,200602,46,-0.01,23,25420,42,1,3104.2697,1
977052993459020,79001,1,200602,46,-0.01,23,21500,25,2,3159.8834,1
064496469200944,79001,1,200602,46,-0.01,23,38300,43,1,2691.1339,1
496966004044249,79001,3,200602,46,-0.01,23,38300,42,1,3980.2790,1
496926503006229,79001,1,200602,46,-0.01,23,0,39,1,2802.0074,1
496926503006229,79001,2,200602,46,-0.01,23,0,21,1,2957.1091,1
120925090447489,79001,3,200602,46,-0.01,23,0,16,2,2566.7625,1
424595083908995,81001,2,200602,46,-0.01,23,29540,34,1,2838.8034,1
063492899200951,79001,2,200602,46,-0.01,23,10900,22,1,3153.3208,1
524619078909099,80001,1,200602,46,5.25,23,10900,24,1,4082.9430,1
240209979907690,81001,5,200602,46,-0.01,23,42540,20,2,2998.7760,1
005614520998797,79001,2,200602,46,-0.01,23,42540,18,2,3034.2482,1
970022809469970,79001,1,200602,46,-0.01,23,42540,25,1,2888.3558,1
601902144890582,81001,2,200602,46,-0.01,23,37980,42,2,2851.6703,1
516491489200802,81001,4,200602,46,-0.01,23,37980,17,2,3180.7798,1
499904104097237,79001,1,200602,46,2.85,23,37980,49,2,2754.2042,1
550527090842769,81001,1,200602,46,-0.01,23,37980,18,1,2925.4044,1
903539110769101,81001,3,200602,46,-0.01,58,10500,21,1,3817.6329,1
035671530999090,79001,3,200602,46,-0.01,58,0,18,2,4060.7050,2
027693440989096,79001,3,200602,46,9.50,22,35620,18,2,2683.5950,1
499600616920953,79001,5,200602,46,-0.01,22,37980,40,1,3231.9556,1
392922008014469,81001,2,200602,46,-0.01,22,35620,56,1,3342.5332,1
101902913897614,81001,1,200602,46,-0.01,22,35620,51,1,2909.2310,1
394902909097477,81001,2,200602,46,-0.01,22,35620,38,1,2799.0251,1
659820171070923,81001,3,200602,46,-0.01,21,35620,43,2,3730.7875,1
991086685329380,81001,3,200602,46,-0.01,21,35620,20,2,3418.2152,1
496944605051299,79001,2,200602,46,2.00,23,11020,44,2,2828.4121,1
495968509035279,80001,3,200602,46,-0.01,23,0,17,-1,3088.3061,3
467912408037219,81001,2,200602,46,-0.01,23,0,33,2,2950.1588,1
289120294040984,80001,2,200602,46,11.00,23,29540,61,2,2958.0444,1
531173004909998,79001,1,200602,46,6.00,58,0,26,1,2591.6031,1
020937093511159,81001,4,200602,46,-0.01,58,12060,16,2,2994.5310,1
191958007009309,80001,2,200602,46,-0.01,58,0,33,1,2883.8736,2
350949097731959,81001,1,200602,46,-0.01,22,12100,37,1,2927.1254,1
343891013908395,81001,1,200602,46,-0.01,22,12100,60,1,2516.8624,1
954279550779301,79001,1,200602,46,-0.01,22,35620,64,1,2780.5974,1
394963701036406,81001,1,200602,46,-0.01,22,35620,25,1,3403.6095,1
077453640965097,79001,4,200602,46,-0.01,22,35620,19,1,2869.2067,1
