HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
031339006909997,79001,2,200601,46,-0.01,58,42340,27,1,2722.6827,2
010421830950198,80001,2,200601,46,-0.01,58,12060,29,1,3115.3104,1
924093826129700,81001,1,200601,46,-0.01,58,12060,35,1,3213.0705,1
924093826129700,81001,2,200601,46,-0.01,58,12060,41,1,2901.9421,1
948024932339650,79001,6,200601,46,5.50,22,37980,18,2,2800.2615,1
643391099400914,79001,2,200601,46,-0.01,22,37980,44,2,2428.5626,1
343446095906299,79002,2,200601,46,-0.01,22,35620,51,1,2948.1869,2
077453640965097,79001,4,200601,46,-0.01,22,35620,18,1,2818.3747,1
077453640965097,79001,6,200601,46,-0.01,22,35620,19,1,2401.4602,1
210948091733449,79001,2,200601,46,10.00,22,35620,34,1,3477.8943,1
046923360970194,79001,2,200601,46,4.00,21,15380,18,2,3080.2077,1
501908283392006,81001,3,200601,46,-0.01,21,35620,23,1,3550.8158,1
230609976742647,81001,1,200601,46,-0.01,21,35620,43,1,4417.1890,1
430609940534796,79001,3,200601,46,-0.01,21,40380,29,1,3579.9908,1
053533460950692,79001,1,200601,46,-0.01,21,35620,46,1,4141.3746,1
393915601095626,79001,2,200601,46,-0.01,21,35620,59,1,3352.0613,1
980086979359480,79001,3,200601,46,-0.01,21,45060,20,2,3192.8225,1
072393199600631,80001,1,200601,46,11.00,21,35620,38,1,3954.4247,1
072393199600631,80001,2,200601,46,13.00,21,35620,42,1,3173.7963,1
503906984691582,79001,3,200601,46,-0.01,23,38300,19,-1,3384.0919,3
690625097644069,79001,2,200601,46,-0.01,23,38300,16,2,3173.8839,1
740209924593062,80001,4,200601,46,6.00,23,38300,16,2,3322.1359,1
272499349200605,80001,3,200601,46,7.00,23,38300,21,1,4072.3568,1
057714820962597,80001,3,200601,46,-0.01,23,38300,20,2,4504.1877,1
316499639200850,81001,4,200601,46,-0.01,23,39740,18,2,3136.9341,1
493991306056208,81001,3,200601,46,-0.01,23,39740,26,1,2985.5691,1
