HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
543489086909395,80001,1,200512,46,-0.01,22,35620,57,1,2820.6186,1
431357048909690,80001,1,200512,46,-0.01,58,42340,41,1,2813.3817,1
631369044907998,79001,1,200512,46,-0.01,58,12060,35,1,3918.9705,1
965003979179870,80001,2,200512,46,-0.01,58,12060,17,2,2590.7869,1
031800027906997,80002,1,200512,46,-0.01,58,12060,29,1,3583.4258,1
191971905087378,81001,1,200512,46,-0.01,58,12060,22,1,4602.7421,1
973489150169101,79001,3,200512,46,-0.01,58,17980,19,1,4543.3847,2
973489150169101,79001,4,200512,46,-0.01,58,17980,19,1,4543.3847,2
918063941159170,79001,1,200512,46,-0.01,58,17980,53,1,2947.3670,1
607900693696754,80001,1,200512,46,-0.01,22,35620,35,1,4324.5942,1
948024932339650,79001,6,200512,46,-0.01,22,37980,18,1,2893.5298,1
499300389410973,80001,2,200512,46,-0.01,22,37980,46,2,2835.3946,2
343446095906299,79002,2,200512,46,-0.01,22,35620,51,2,3074.0169,1
701903073892774,81001,2,200512,46,-0.01,22,35620,38,1,4859.6342,2
224391279400970,79001,1,200512,46,-0.01,22,35620,44,1,2883.0676,1
224391279400970,79001,6,200512,46,7.00,22,35620,69,2,2710.0957,1
396951005091636,81001,4,200512,46,-0.01,21,15380,16,2,3066.6539,1
958056000369940,80001,4,200512,46,-0.01,21,35620,24,2,5816.9990,2
450669098038059,80001,2,200512,46,-0.01,21,35620,23,1,4067.9991,1
430609940534796,79001,3,200512,46,-0.01,21,40380,29,2,3910.9187,1
180867094332179,79001,4,200512,46,6.00,21,40380,23,2,3125.6650,1
669250365300983,80001,3,200512,46,-0.01,21,35620,21,1,4541.5554,1
990266099333869,79002,1,200512,46,-0.01,21,35620,44,1,3523.4530,2
398952300097699,79001,1,200512,46,8.25,21,15380,46,2,2546.6399,1
079413360997994,79002,1,200512,46,-0.01,21,45060,32,1,2946.5004,1
