HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
010421830950198,78001,6,200510,46,-0.01,58,12060,49,1,2914.2716,1
489050754740943,80001,2,200510,46,10.00,22,12100,43,1,2641.0667,1
408901643793404,78001,1,200510,46,7.55,22,35620,80,2,2829.4649,1
616391909400862,79001,1,200510,46,-0.01,22,37980,48,2,3228.4890,1
616391909400862,79001,3,200510,46,-0.01,22,37980,23,1,3441.1550,1
489880619500983,78001,4,200510,46,-0.01,22,37980,21,-1,2612.1544,3
392908201056499,78001,1,200510,46,14.22,22,37980,42,1,2303.6936,1
392908201056499,78001,7,200510,46,14.22,22,37980,39,1,2834.3343,1
543512054909290,80001,3,200510,46,-0.01,22,37980,26,2,2681.8134,1
981004989359090,80001,6,200510,46,-0.01,22,37980,19,2,2510.4912,1
220845090332719,79001,2,200510,46,-0.01,22,35620,30,1,3137.3347,1
220845090332719,79001,3,200510,46,-0.01,22,35620,25,1,4026.9733,1
224391279400970,79001,1,200510,46,-0.01,22,35620,44,1,2815.7323,1
305900983894524,80001,2,200510,46,-0.01,22,35620,45,2,3228.4890,1
305900983894524,80001,4,200510,46,-0.01,22,35620,16,2,3232.8571,1
996469012029303,79021,1,200510,46,-0.01,21,39100,68,1,2981.3893,1
280160090232859,79001,3,200510,46,-0.01,21,35620,29,1,4636.8120,1
669150608760923,79001,1,200510,46,-0.01,21,35620,33,1,3476.8735,1
730609900828205,80001,1,200510,46,-0.01,21,35620,54,1,2831.8909,1
630465094037879,80001,1,200510,46,-0.01,21,35620,23,2,2743.8420,1
630465094037879,80001,2,200510,46,-0.01,21,35620,25,1,3981.5443,2
630465094037879,80001,3,200510,46,-0.01,21,35620,25,2,3682.9117,1
763252038904291,78001,1,200510,46,6.15,21,35620,47,2,3587.4878,1
763252038904291,78001,4,200510,46,-0.01,21,35620,28,2,3500.4082,1
871391639600655,80001,1,200510,46,-0.01,21,35620,43,2,2836.0420,1
801908963397176,79001,2,200510,46,-0.01,21,35620,29,1,4323.8843,1
801908963397176,79001,3,200510,46,-0.01,21,35620,26,2,4153.2233,1
609080126720963,80001,3,200510,46,-0.01,21,35620,58,1,3261.8057,1
398952300097699,79001,1,200510,46,-0.01,21,15380,46,2,2460.7000,1
018398849600897,79001,1,200510,46,-0.01,21,45060,47,1,2901.3877,1
880964090331489,79001,3,200510,46,-0.01,21,45060,21,1,3967.2550,1
005033660913090,80001,1,200510,46,-0.01,21,35620,28,1,4636.8120,1
005033660913090,80001,2,200510,46,-0.01,21,35620,28,1,4636.8120,1
008613860969894,78001,4,200510,46,5.00,21,35620,22,1,3712.0978,1
602902513990236,79002,2,200510,46,-0.01,21,10580,55,2,2319.7072,1
948399599600934,80001,3,200510,46,6.50,21,10580,16,2,3305.3258,1
399932001032617,79001,2,200510,46,-0.01,21,35620,44,1,3556.4746,1
941492969200758,80001,4,200510,46,6.15,23,38300,17,2,2708.1164,1
495965709066203,80001,1,200510,46,-0.01,23,38300,48,1,3070.1993,1
667032962449960,80001,2,200510,46,8.00,23,0,42,2,2456.9071,1
020214520991991,80001,2,200510,46,-0.01,23,37980,21,1,3508.6428,1
