HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
903900801590273,80001,2,200509,46,6.00,58,12060,22,2,3876.9876,1
389840486430981,78001,1,200509,46,-0.01,58,12060,67,2,2644.1127,1
543512054909290,80001,3,200509,46,-0.01,22,37980,26,1,2803.2265,1
390948096637859,78001,4,200509,46,-0.01,22,35620,50,-1,2774.1547,3
830409933144370,78001,3,200509,46,-0.01,22,35620,55,1,2151.0397,1
139397429400898,80001,1,200509,46,18.00,22,35620,33,1,3289.4121,1
139397429400898,80001,2,200509,46,7.00,22,35620,32,1,2392.6752,1
305900983894524,80001,2,200509,46,-0.01,22,35620,45,2,3299.2745,1
305900983894524,80001,4,200509,46,-0.01,22,35620,16,2,3568.8887,1
963983043906990,80001,3,200509,46,6.25,21,15380,17,2,2772.5228,1
710399089600593,79001,2,200509,46,-0.01,21,35620,31,1,4409.7319,1
088923260013005,79001,3,200509,46,-0.01,21,40380,17,2,3030.6376,1
180867094332179,79001,4,200509,46,-0.01,21,40380,23,2,3418.1614,1
082643560994093,80001,1,200509,46,-0.01,21,40380,55,2,2927.1209,2
699560026320973,78001,2,200509,46,7.50,21,40380,37,2,2739.8101,1
130609925063315,79002,1,200509,46,-0.01,21,35620,47,1,3239.9768,1
960167091732889,79001,4,200509,46,-0.01,21,35620,17,2,3282.0236,1
609080126720963,80001,3,200509,46,-0.01,21,35620,58,1,3154.9206,1
880964090331489,79001,3,200509,46,-0.01,21,45060,20,1,3908.2800,1
241395059600932,80001,1,200509,46,-0.01,21,0,32,1,3068.6993,1
063555026909193,80001,5,200509,46,-0.01,21,35620,30,2,4002.1608,1
390987408016698,78001,4,200509,46,-0.01,21,35620,26,1,3513.1440,1
763264056909092,80001,4,200509,46,-0.01,21,10580,36,1,3035.9859,1
300960099333799,80001,3,200509,46,8.00,21,28740,17,2,2832.1617,1
399932001032617,79001,2,200509,46,-0.01,21,35620,44,1,3375.2161,1
909012463439490,80001,1,200509,46,-0.01,23,38300,29,1,3500.0109,1
909012463439490,80001,2,200509,46,6.00,23,38300,29,1,3500.0109,1
494994901030262,80001,2,200509,46,-0.01,23,38300,25,1,2593.9587,1
088514720976995,78001,3,200509,46,-0.01,23,38300,17,-1,3266.4317,3
667032962449960,80001,2,200509,46,-0.01,23,0,42,2,2493.8682,1
918042972479760,78001,3,200509,46,8.00,23,37980,17,2,3302.5569,1
918042972479760,78001,4,200509,46,-0.01,23,37980,15,-1,0.0000,3
289840552350944,80001,1,200509,46,-0.01,23,10900,32,2,2377.0468,1
904908494790052,80001,1,200509,46,-0.01,23,37980,51,1,2717.5789,1
624562075908797,80001,4,200509,46,-0.01,23,37980,16,2,3076.5746,1
902399270269409,78001,2,200509,46,8.00,23,21500,22,1,3403.7964,1
440209918560493,80001,3,200509,46,-0.01,23,38300,18,2,2754.2973,1
340209991316980,80001,3,200509,46,-0.01,23,37980,19,1,3428.8024,1
289230056120964,80001,1,200509,46,-0.01,23,37980,26,1,3820.5335,1
269160193270924,79001,2,200509,46,-0.01,23,37980,20,2,4619.3782,1
752189210039404,79001,4,200509,46,-0.01,23,38300,28,1,3140.2331,1
902739530759407,80001,1,200509,46,-0.01,23,38300,55,1,2974.3209,1
850495329200841,80001,3,200509,46,-0.01,23,38300,21,2,2846.3194,1
498964100043259,80001,2,200509,46,-0.01,23,38300,35,1,2494.7160,1
713309210779109,79001,2,200509,46,-0.01,58,12060,39,1,3113.7085,1
945084767379340,78001,1,200509,46,6.25,22,35620,22,2,3482.2090,1
150960094037319,78001,3,200509,46,7.00,21,35620,18,2,3294.4080,1
840209924959795,78001,1,200509,46,-0.01,23,0,50,2,2543.7555,1
040494720691594,78001,5,200509,46,-0.01,23,0,20,-1,3542.8330,3
019344120691698,79001,1,200509,46,-0.01,23,0,58,1,3105.8453,1
760131009912460,79001,1,200509,46,-0.01,58,42340,23,2,3141.1922,1
194971802098388,79001,1,200509,46,-0.01,58,12060,50,1,3289.0662,1
399670706330951,80001,2,200509,46,-0.01,58,12060,32,1,2752.4032,1
873259140489101,80001,3,200509,46,-0.01,58,12060,15,2,0.0000,1
193340320720109,79001,3,200509,46,-0.01,58,12060,52,1,3088.7038,1
710309910910781,78001,1,200509,46,8.00,58,12060,24,1,3846.6051,1
555107810300198,80001,3,200509,46,-0.01,58,12060,16,2,2979.4464,1
531778096907791,80001,1,200509,46,-0.01,58,12060,61,1,3119.0531,1
163830240210105,80001,1,200509,46,-0.01,58,12060,35,1,3370.9278,1
998003948179830,78002,2,200509,46,5.75,58,16860,19,1,2972.5340,1
408901643793404,78001,1,200509,46,-0.01,22,35620,80,2,2859.3566,1
616391909400862,79001,1,200509,46,-0.01,22,37980,48,1,3299.2745,1
616391909400862,79001,3,200509,46,-0.01,22,37980,23,2,3460.4935,1
630409926590174,80001,2,200509,46,-0.01,22,35620,32,1,3219.9670,1
650740096237889,78001,1,200509,46,14.25,22,35620,48,2,2997.1507,1
650740096237889,78001,2,200509,46,5.60,22,35620,44,1,3030.9956,1
723391979400716,79001,7,200509,46,-0.01,22,35620,20,1,4213.9968,1
405908453896384,80001,1,200509,46,-0.01,22,35620,43,1,3429.4177,1
499800018720953,80001,1,200509,46,-0.01,22,35620,38,1,3568.6272,2
499800018720953,80001,2,200509,46,-0.01,22,35620,33,1,3056.5267,1
663482081905591,79002,1,200509,46,-0.01,21,35620,32,1,3453.1389,1
663482081905591,79002,2,200509,46,-0.01,21,35620,28,1,5046.6487,1
663482081905591,79002,4,200509,46,-0.01,21,35620,30,1,5130.3119,1
916269030699306,80001,5,200509,46,6.50,21,13780,17,2,2745.8680,1
