HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
020932091417929,78001,3,200508,46,-0.01,58,42340,41,2,2602.4119,2
190938404076359,78001,3,200508,46,-0.01,58,42340,19,1,3885.8851,1
190938404076359,78001,5,200508,46,-0.01,58,42340,16,2,2358.3830,1
190938404076359,78001,7,200508,46,-0.01,58,42340,15,2,0.0000,1
673759840609109,80001,1,200508,46,-0.01,58,12060,26,2,2812.7902,1
846198449300743,80001,3,200508,46,-0.01,58,12060,19,2,2844.2161,2
195946909032399,78002,9,200508,46,2.13,58,10500,23,2,3235.1110,1
163830240210105,80001,1,200508,46,-0.01,58,12060,35,1,3311.9079,1
728193719300940,80001,3,200508,46,5.75,58,16860,17,2,3003.9738,1
408901643793404,78001,1,200508,46,-0.01,22,35620,80,2,2742.6479,1
237396219400872,80001,3,200508,46,-0.01,22,37980,17,2,2870.4581,1
499770207730953,80001,2,200508,46,-0.01,22,35620,53,1,3267.0244,1
650740096237889,78001,1,200508,46,-0.01,22,35620,48,2,3080.2728,1
650740096237889,78001,2,200508,46,-0.01,22,35620,43,1,2800.9268,1
397924007061429,80001,4,200508,46,-0.01,22,35620,16,2,2514.2989,1
996469012029303,79021,1,200508,46,-0.01,21,39100,68,1,3148.5776,1
963983043906990,80001,3,200508,46,-0.01,21,15380,17,2,2940.4393,1
055393560698498,80001,3,200508,46,-0.01,21,0,17,2,2879.3838,1
802901953295426,80001,1,200508,46,18.00,21,35620,41,1,2412.8853,1
699560026320973,78001,2,200508,46,-0.01,21,40380,37,2,2800.4962,1
130609925063315,79002,1,200508,46,-0.01,21,35620,47,1,3171.7436,1
928076704359030,80001,1,200508,46,-0.01,21,35620,67,2,3681.1158,1
390987408016698,78001,4,200508,46,-0.01,21,35620,26,1,4013.3912,1
051773360994192,80001,3,200508,46,-0.01,21,35620,18,1,2822.1806,1
399916806050679,78001,1,200508,46,9.50,21,0,37,1,4168.4529,1
941492969200758,80001,4,200508,46,-0.01,23,38300,17,2,2707.1645,1
052904620937596,78001,3,200508,46,-0.01,23,38300,20,1,3562.5787,2
902032811449200,80001,1,200508,46,-0.01,23,37980,34,1,2895.5852,1
901908994893402,79001,3,200508,46,-0.01,23,37980,17,2,2915.6452,1
782749450359409,80001,3,200508,46,-0.01,23,37980,20,2,3658.4312,1
942839830456406,80001,2,200508,46,-0.01,23,0,26,2,3400.2924,1
363498439200959,78001,4,200508,46,5.50,23,0,17,2,2508.9013,1
363498439200959,78001,5,200508,46,-0.01,23,0,18,-1,2842.9830,3
299920028230914,79001,1,200508,46,-0.01,23,25420,40,1,2760.0630,1
497952101028247,80001,1,200508,46,13.00,23,37980,44,2,2610.7580,1
497952101028247,80001,2,200508,46,8.00,23,37980,21,1,2883.6771,1
499952002091229,80001,1,200508,46,7.50,23,38300,80,2,2709.5781,1
440209918560493,80001,3,200508,46,-0.01,23,38300,18,2,2634.0454,1
140209947118387,79001,3,200508,46,-0.01,23,0,21,1,3531.6178,1
497911408037218,79001,1,200508,46,-0.01,23,0,46,1,2961.9666,2
628492659200748,80001,3,200508,46,5.25,23,10900,15,2,0.0000,1
976082670469700,78001,2,200508,46,6.00,23,42540,50,2,2425.1343,1
493928807070209,78001,1,200508,46,-0.01,23,37980,29,1,3224.0331,1
493928807070209,78001,2,200508,46,-0.01,23,37980,23,1,2471.0897,1
902739530759407,80001,1,200508,46,-0.01,23,38300,55,1,2898.1179,1
945084767379340,78001,1,200508,46,-0.01,22,35620,22,2,3350.0333,1
958056800328940,80001,5,200508,46,6.00,21,35620,19,2,2995.2351,1
490928802092269,78001,4,200508,46,-0.01,23,0,17,2,2528.5692,2
320490819200904,80001,3,200508,46,-0.01,23,0,18,-1,2842.9830,3
