HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
900930091917889,78001,4,200507,46,-0.01,58,12060,17,2,2496.5075,1
196972007054389,80001,1,200507,46,-0.01,58,12020,18,1,2048.8374,1
931319094907999,80001,4,200507,46,-0.01,58,12060,38,2,2999.8017,1
770935091413489,80001,3,200507,46,-0.01,58,10500,26,1,2605.4663,1
115105160300154,80001,1,200507,46,7.00,58,12060,39,1,3327.8730,1
115105160300154,80001,2,200507,46,-0.01,58,12060,39,1,3191.7262,1
643482086909591,78001,3,200507,46,-0.01,22,37980,16,2,2968.9566,1
142399029400911,80001,2,200507,46,-0.01,22,35620,16,2,1883.9722,1
747396839400931,80001,2,200507,46,-0.01,22,35620,46,1,2818.5852,1
689130524710963,78001,1,200507,46,-0.01,21,35620,34,2,3008.8271,1
480262097331519,80001,1,200507,46,-0.01,21,35620,27,1,3846.9521,1
802901953295426,80001,1,200507,46,-0.01,21,35620,41,1,2506.6277,1
430609978390990,80001,1,200507,46,-0.01,21,35620,34,1,2700.5658,1
082643560994093,78001,1,200507,46,6.00,21,40380,36,2,2923.4117,1
699560026320973,78001,2,200507,46,-0.01,21,40380,37,2,2764.9655,1
960167091732889,80001,2,200507,46,-0.01,21,35620,21,1,2622.3209,1
960167091732889,80001,3,200507,46,-0.01,21,35620,19,2,2350.0968,1
430609925250391,80001,1,200507,46,-0.01,21,0,49,1,3280.1896,1
430609925250391,80001,4,200507,46,-0.01,21,0,18,2,2657.8735,1
063523024909195,80001,2,200507,46,-0.01,21,0,59,1,3040.1526,1
163214075908391,78001,3,200507,46,5.00,21,35620,41,2,3570.3732,1
035333660934093,78001,3,200507,46,-0.01,21,35620,21,2,3081.5631,1
035333660934093,78001,4,200507,46,-0.01,21,35620,27,2,2896.7070,1
390987408016698,78001,4,200507,46,-0.01,21,35620,26,1,3562.0027,1
008613860969894,78001,4,200507,46,-0.01,21,35620,22,1,4645.9088,1
905076864329220,80001,3,200507,46,-0.01,21,10580,22,1,3346.3846,1
087813560996392,78001,2,200507,46,-0.01,21,10580,23,1,3097.4897,1
393973809023698,80001,1,200507,46,-0.01,21,35620,19,2,2848.3730,1
630096917319640,80001,1,200507,46,2.50,21,0,36,2,2547.6412,1
860391699600957,78002,2,200507,46,-0.01,21,0,26,1,4982.8340,1
399916806050679,78001,1,200507,46,-0.01,21,0,37,1,5216.9531,1
300960099333799,80001,3,200507,46,-0.01,21,28740,16,2,2932.6812,1
005763560993598,78001,3,200507,46,-0.01,21,0,40,-1,7201.4213,3
052904620937596,78001,3,200507,46,-0.01,23,38300,20,1,3377.0331,2
424672083908197,80001,3,200507,46,-0.01,23,37980,20,1,3570.9043,1
