HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
770935091413489,80001,3,200506,46,-0.01,58,10500,26,1,2947.5112,2
972043964159070,78002,1,200506,46,-0.01,58,12060,27,2,3443.8017,1
990033925139180,80001,2,200506,46,-0.01,58,12260,20,1,3135.1667,2
728193719300940,80001,3,200506,46,-0.01,58,16860,17,1,3384.8503,1
060543140994594,80001,2,200506,46,-0.01,22,37980,41,2,3102.9987,1
608909013995224,79001,4,200506,46,9.25,22,37980,20,1,3453.0255,1
630940092031069,80001,1,200506,46,-0.01,22,35620,51,1,3147.0703,1
630940092031069,80001,4,200506,46,-0.01,22,35620,19,1,2977.4929,1
945084767379340,78001,1,200506,46,-0.01,22,35620,22,2,2912.3524,1
390998602030449,79001,2,200506,46,7.00,22,35620,44,2,2918.1384,1
643026003908293,80001,2,200506,46,-0.01,22,35620,22,1,3395.5005,1
480262097331519,80001,1,200506,46,-0.01,21,35620,27,1,3646.5701,1
977026776359640,78001,1,200506,46,-0.01,21,35620,43,1,2627.1014,2
080693860987795,79001,3,200506,46,5.00,21,45060,21,2,3369.7538,1
035333660934093,78001,4,200506,46,-0.01,21,35620,27,1,3833.6168,1
008903053793006,79001,4,200506,46,-0.01,21,35620,57,1,3266.4091,1
024093560995798,78002,3,200506,46,-0.01,21,35620,21,1,3739.3312,2
860391699600957,78002,2,200506,46,-0.01,21,0,26,1,5627.0539,1
399916806050679,78001,1,200506,46,-0.01,21,0,37,1,4618.6916,1
699600373840973,78001,1,200506,46,-0.01,21,28740,30,2,2856.2711,1
699600373840973,78001,2,200506,46,-0.01,21,28740,32,1,3337.2624,1
764499639200983,78001,3,200506,46,-0.01,23,38300,19,1,2600.3622,1
015544520997393,78001,4,200506,46,-0.01,23,10900,20,1,3007.3632,2
782719250659401,78001,2,200506,46,-0.01,23,37980,20,1,5639.5144,2
029384820963493,79001,3,200506,46,-0.01,23,37980,50,1,2900.0966,1
499952002091229,80001,1,200506,46,-0.01,23,38300,80,2,2659.5232,1
140209935584567,80001,1,200506,46,-0.01,23,38300,37,1,2540.1905,1
964492999200976,78001,3,200506,46,-0.01,23,38300,39,2,2835.6933,1
924267096909499,78001,1,200506,46,-0.01,23,38300,33,1,2829.7782,1
076084131340820,78001,2,200506,46,-0.01,22,45940,56,1,2018.4254,1
942397119400997,78003,1,200506,46,7.00,22,45940,47,1,2377.1155,1
969096083349690,78001,1,200506,46,6.30,21,35620,80,1,1991.7682,1
924016857349270,78001,3,200506,46,6.00,21,15380,18,2,3076.6625,1
390834807042609,78001,5,200506,46,8.00,21,35620,20,2,3784.7719,1
570825067144279,78001,3,200506,46,6.25,23,38300,20,2,2281.4570,1
570825067144279,78001,4,200506,46,5.25,23,38300,18,2,2513.2560,1
152220340610400,78001,1,200506,46,10.00,23,37980,29,1,2123.6983,1
