HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399740637400911,80001,2,200505,46,-0.01,58,12020,25,1,3761.3706,1
955023911159480,78001,1,200505,46,-0.01,58,10500,50,2,3091.8655,1
070901130990892,80001,2,200505,46,-0.01,58,12060,54,1,2484.5906,1
948003502189110,79001,2,200505,46,-0.01,58,12060,34,1,2989.4267,1
948093989179100,79001,1,200505,46,-0.01,58,12260,59,-1,2893.7142,3
948093989179100,79001,4,200505,46,7.00,58,12260,23,2,3555.0909,1
994819050809309,78001,3,200505,46,-0.01,22,37980,22,2,3623.3148,1
994819050809309,78001,5,200505,46,-0.01,22,37980,18,2,3313.6784,1
052133740977290,79001,1,200505,46,9.00,22,35620,40,1,3145.6996,1
060945091637059,79001,4,200505,46,6.50,22,10900,17,2,3121.2371,1
689600616920983,79001,4,200505,46,-0.01,21,13780,22,1,3297.9483,1
480262097331519,80001,1,200505,46,-0.01,21,35620,27,1,4021.4969,1
977026776359640,78001,1,200505,46,-0.01,21,35620,43,1,2770.2093,2
063939078809098,79001,3,200505,46,-0.01,21,35620,19,1,3089.1970,1
078733760971194,79001,4,200505,46,7.50,21,40380,20,2,3030.8497,1
514398429600573,80001,1,200505,46,-0.01,21,35620,28,1,3784.3893,1
079413860987994,79001,3,200505,46,-0.01,21,45060,18,2,3440.4267,1
035333660934093,78001,4,200505,46,-0.01,21,35620,27,2,4001.3045,1
563043037901393,79001,1,200505,46,-0.01,21,35620,29,1,4181.6691,1
008903053793006,79001,4,200505,46,-0.01,21,35620,57,1,3340.1714,1
075683160997590,80001,5,200505,46,-0.01,21,0,20,2,3245.9662,1
630096917319640,80001,1,200505,46,-0.01,21,0,35,2,2353.0702,1
158398329600878,78001,2,200505,46,-0.01,21,35620,53,2,3081.2605,1
015544520997393,78001,4,200505,46,-0.01,23,10900,20,1,3077.9176,2
993032863429260,80001,2,200505,46,-0.01,23,25420,23,1,2818.8866,1
982949110329401,80001,3,200505,46,-0.01,23,0,33,1,2604.3831,1
640209939935443,78001,1,200505,46,-0.01,23,37980,58,1,2869.7080,1
320490819200904,80001,3,200505,46,-0.01,23,0,17,2,2753.1381,1
329980530650931,78001,1,200505,46,-0.01,58,12060,36,1,4184.1109,1
430409987835898,78002,3,200505,46,-0.01,22,35620,37,1,1664.4032,1
848393579400988,78001,8,200505,46,-0.01,22,35620,25,2,2295.3489,1
924016857349270,78001,3,200505,46,-0.01,21,15380,18,2,2958.3767,1
404901973774746,78002,3,200505,46,-0.01,21,35620,19,1,1965.6840,1
404901973774746,78002,5,200505,46,-0.01,21,35620,26,1,2620.2474,1
390834807042609,78001,5,200505,46,-0.01,21,35620,20,2,3568.7204,1
689580732600943,78001,1,200505,46,-0.01,21,35620,47,1,3047.3637,1
689580732600943,78001,2,200505,46,-0.01,21,35620,48,1,2880.5356,1
462974401072259,78001,2,200505,46,-0.01,23,0,25,1,4133.2782,1
152220340610400,78001,1,200505,46,-0.01,23,37980,29,1,2163.2597,1
495973107048248,78001,1,200505,46,-0.01,23,10900,50,1,2199.6340,1
938497319200022,78001,1,200505,46,17.00,23,37980,59,1,2144.0088,1
279700985580934,78001,5,200505,46,10.00,23,37980,28,1,2487.5440,1
655096973319560,80001,3,200505,46,-0.01,21,0,18,2,2809.7196,1
080693860987795,79001,3,200505,46,-0.01,21,45060,21,2,3297.9483,1
252309380600195,78001,1,200505,46,-0.01,21,39100,27,1,2656.9334,1
933399170869102,79001,2,200505,46,-0.01,58,12060,21,-1,3600.7056,3
942063957139130,78001,2,200505,46,-0.01,58,0,55,-1,2826.2451,3
399370505210911,80001,2,200505,46,-0.01,58,12060,34,2,3310.1608,1
399370505210911,80001,5,200505,46,-0.01,58,12060,20,1,3289.5519,2
191958007009309,79001,1,200505,46,-0.01,58,0,40,2,2836.5838,1
304021107035401,80001,2,200505,46,-0.01,22,12100,41,1,3232.1547,1
304021107035401,80001,3,200505,46,-0.01,22,12100,16,2,3313.6784,1
934839950329301,78001,3,200505,46,-0.01,22,35620,18,2,3313.6784,1
394905600060638,78001,3,200505,46,-0.01,21,35620,26,2,2656.9334,1
763785008907496,79001,3,200505,46,-0.01,21,35620,35,1,4737.8119,1
629740494710973,79001,1,200505,46,-0.01,21,35620,45,1,4976.2329,1
830609958036792,79001,3,200505,46,-0.01,21,35620,18,1,3604.7818,1
299600489180674,79001,2,200505,46,-0.01,23,0,50,2,2851.6781,2
840209954893492,79001,2,200505,46,-0.01,23,42540,40,1,2815.3739,2
394984405093477,78001,3,200505,46,-0.01,22,35620,37,1,2304.5147,1
689460455040943,78001,1,200505,46,-0.01,21,35620,69,2,2048.1209,1
908056942339380,78001,2,200505,46,7.00,21,39100,51,2,2543.6564,1
330600059798019,78001,3,200505,46,-0.01,21,10580,19,1,2993.4031,2
330609991563952,78001,2,200505,46,7.00,21,35620,17,2,3301.7009,1
800737096511429,80001,2,200505,46,-0.01,58,12060,44,1,3343.1529,1
981073944139570,78001,2,200505,46,5.15,58,10500,16,2,2272.7042,1
399740827690971,79001,1,200505,46,7.00,58,46660,31,1,2160.2475,1
399740827690971,79001,4,200505,46,2.00,58,46660,32,1,2832.9317,1
022791230695197,80001,1,200505,46,-0.01,58,12060,19,1,3410.4262,2
022791230695197,80001,2,200505,46,-0.01,58,12060,51,1,3155.5337,1
198958604013339,79001,5,200505,46,-0.01,58,12060,21,1,2973.0783,1
210309974387993,80001,2,200505,46,-0.01,58,0,46,1,3323.0662,1
943606072907695,80001,1,200505,46,-0.01,22,35620,51,1,3785.1370,1
499460455040913,80001,3,200505,46,-0.01,22,37980,24,1,3447.2013,1
060543140994594,80001,2,200505,46,-0.01,22,37980,41,2,3137.3332,1
489030996100983,79001,4,200505,46,-0.01,22,35620,19,2,3122.6631,1
426395299400932,80001,2,200505,46,-0.01,22,35620,46,2,3149.2084,1
689130524710963,78001,1,200505,46,-0.01,21,35620,34,1,3690.6536,1
407901273695136,79001,2,200505,46,-0.01,21,35620,33,1,3557.9920,1
214392959600060,80001,3,200505,46,-0.01,21,35620,22,1,5801.6093,1
802901953295426,80001,1,200505,46,-0.01,21,35620,41,1,3333.5116,1
082643560994093,78001,1,200505,46,-0.01,21,40380,36,2,2991.4448,1
699560026320973,79001,2,200505,46,5.50,21,40380,38,2,3286.6044,1
663155082907193,80001,2,200505,46,-0.01,21,35620,50,2,2674.9040,1
069398759600918,78001,1,200505,46,-0.01,21,40380,44,1,2594.8516,1
130609904788988,80001,3,200505,46,-0.01,21,45060,34,1,2784.8244,1
699610468590973,79001,4,200505,46,7.50,21,45060,19,2,2829.1793,1
001905743899826,80001,2,200505,46,-0.01,21,35620,34,1,3096.0586,1
986129710659304,80001,1,200505,46,-0.01,21,10580,21,1,3273.6242,1
986129710659304,80001,2,200505,46,-0.01,21,10580,20,1,2848.2801,1
918006571329270,80001,1,200505,46,-0.01,21,35620,35,1,2750.0954,1
399916806050679,78001,1,200505,46,-0.01,21,0,37,1,4095.3878,1
414496409200531,80001,4,200505,46,-0.01,23,38300,19,1,2611.5244,1
740209924593062,79001,3,200505,46,2.25,23,38300,24,1,3464.2625,1
740209924593062,79001,4,200505,46,7.50,23,38300,18,2,2988.6174,1
289760882610964,78001,1,200505,46,-0.01,23,37980,58,2,2727.4501,1
929012979459170,78001,4,200505,46,-0.01,23,27780,19,1,2813.6727,2
162350320820409,80001,3,200505,46,-0.01,23,10900,21,2,2812.4974,1
952619750099406,78001,1,200505,46,-0.01,23,25420,47,1,2402.3370,1
952619750099406,78001,4,200505,46,-0.01,23,25420,18,2,2749.1411,1
840209920585999,79001,3,200505,46,-0.01,23,21500,26,1,2887.6368,1
405055804059291,78001,2,200505,46,-0.01,23,29540,62,1,2583.2337,1
140209970875186,80001,1,200505,46,-0.01,23,42540,20,1,3839.1562,1
140209970875186,80001,2,200505,46,-0.01,23,42540,27,1,2666.9758,1
008903164799912,79001,1,200505,46,-0.01,23,37980,43,1,2838.1046,1
071124120994593,80001,1,200505,46,-0.01,23,0,55,2,2833.1407,1
770925091447489,79001,2,200505,46,-0.01,23,10900,43,1,3058.8979,1
342498429200948,78001,2,200505,46,-0.01,23,0,20,1,2979.5106,2
964492999200976,78001,3,200505,46,-0.01,23,38300,39,2,2829.6065,1
499926909074269,78001,2,200505,46,-0.01,23,38300,17,2,2713.1089,1
924267096909499,78001,1,200505,46,-0.01,23,38300,33,1,2612.2177,1
194953400094316,78001,2,200505,46,-0.01,58,12060,51,1,3844.6340,1
840934098413369,78001,3,200505,46,-0.01,58,12060,22,1,7259.7863,2
238195689300889,78001,2,200505,46,7.50,58,12060,21,1,3846.2648,1
238195689300889,78001,4,200505,46,8.00,58,12060,23,1,3846.2648,1
198953206088398,78001,2,200505,46,19.00,58,12060,29,1,4184.3852,1
330409921262787,78002,1,200505,46,-0.01,22,37980,25,1,2799.4730,1
840640093334199,78001,1,200505,46,-0.01,22,37980,40,1,2352.8612,1
392994100012419,78002,2,200505,46,-0.01,22,35620,48,1,2550.3438,1
942397119400997,78003,1,200505,46,-0.01,22,45940,47,1,2550.3438,1
650940066233889,78001,1,200505,46,-0.01,22,35620,32,1,2555.3756,1
971066605349890,78002,1,200505,46,-0.01,21,10580,61,1,2683.2377,1
430606932663399,78001,1,200505,46,-0.01,21,46540,22,1,3009.0863,1
053703460918694,78002,1,200505,46,-0.01,21,35620,47,2,2585.4922,1
703901183693476,78001,1,200505,46,-0.01,21,40380,53,1,2836.6917,1
703901183693476,78001,2,200505,46,-0.01,21,40380,48,1,2347.3286,1
097193460919494,78001,3,200505,46,-0.01,21,35620,21,1,2608.5772,2
430629774197474,78022,1,200505,46,-0.01,21,35620,49,1,2247.9900,1
393993209039616,78001,10,200505,46,-0.01,21,35620,15,-1,0.0000,3
463063044909667,78001,2,200505,46,-0.01,21,35620,19,2,3099.7035,1
202349530129403,78001,2,200505,46,7.80,23,38300,53,2,2075.3458,1
910022973439520,78001,3,200505,46,8.75,23,37980,57,2,2191.5984,1
152709740659408,78001,2,200505,46,-0.01,23,37980,34,1,4244.8825,1
942939330299405,78001,3,200505,46,10.00,23,49620,22,2,2391.6257,1
