HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
399700164840951,78001,1,200504,46,-0.01,58,12060,36,1,4181.0219,1
399700164840951,78001,2,200504,46,-0.01,58,12060,35,1,3144.8881,1
562197589300935,79001,4,200504,46,2.25,58,12060,17,1,3769.9427,1
52133740977290,79001,1,200504,46,-0.01,22,35620,40,1,3200.7425,1
60945091637059,79001,4,200504,46,-0.01,22,10900,17,2,3262.1939,1
214392959600060,80001,3,200504,46,-0.01,21,35620,22,2,4510.0255,1
977026776359640,78001,1,200504,46,-0.01,21,35620,43,1,3107.4032,2
830609878390990,79001,1,200504,46,-0.01,21,35620,25,1,3718.4169,1
699560026320973,79001,2,200504,46,-0.01,21,40380,38,1,3152.6069,1
130609917896738,80001,2,200504,46,-0.01,21,35620,27,1,4059.8237,1
514398429600573,80001,1,200504,46,-0.01,21,35620,28,1,3818.4689,1
976399969600338,79001,2,200504,46,-0.01,21,35620,27,1,5300.3407,1
906901113991676,79001,2,200504,46,-0.01,21,45060,32,1,3241.9271,1
463595088909995,79001,1,200504,46,-0.01,21,39100,33,1,4119.8029,1
463595088909995,79001,5,200504,46,-0.01,21,39100,23,1,3567.6087,1
79413860987994,79001,3,200504,46,-0.01,21,45060,18,2,3495.1225,1
6907163995896,79001,2,200504,46,8.00,21,0,25,2,3044.8174,1
552899460139408,79001,1,200504,46,-0.01,23,37980,44,2,2937.5518,1
492926800054289,79001,1,200504,46,-0.01,23,21500,45,1,2651.6833,2
496966004044249,79001,3,200504,46,29.00,23,38300,41,1,4559.1429,1
63492899200951,79001,2,200504,46,4.00,23,10900,21,1,3062.5229,1
908032614469250,79001,2,200504,46,10.00,23,38300,46,1,2907.2428,1
852400850200193,78001,3,200504,46,-0.01,23,49620,18,2,3017.2269,1
703901183693476,78001,1,200504,46,-0.01,21,40380,50,1,2862.3658,1
703901183693476,78001,2,200504,46,-0.01,21,40380,48,1,2395.8984,1
730968090633749,78001,2,200504,46,-0.01,21,39100,57,1,3716.1970,1
689580732600943,78001,1,200504,46,-0.01,21,35620,47,1,2976.3025,1
689580732600943,78001,2,200504,46,-0.01,21,35620,48,1,2762.2834,1
689580732600943,78001,4,200504,46,-0.01,21,35620,16,2,3182.7626,1
52134320923094,78001,1,200504,46,-0.01,23,38300,52,1,2622.1902,1
52134320923094,78001,2,200504,46,-0.01,23,38300,55,1,3181.7033,1
52134320923094,78001,3,200504,46,-0.01,23,38300,18,2,2593.0891,1
570825067144279,78001,3,200504,46,-0.01,23,38300,19,2,1596.3062,1
570825067144279,78001,4,200504,46,-0.01,23,38300,17,2,3149.0349,1
145492449200975,78001,3,200504,46,-0.01,23,39740,18,1,2051.4665,1
202601554992502,78002,1,200504,46,3.00,23,0,25,2,2609.7879,1
932549030649407,78001,1,200504,46,-0.01,23,38300,42,1,2188.3081,1
491902203030299,78002,1,200504,46,2.83,23,38300,22,1,2031.8290,1
489170686860963,79001,3,200504,46,6.00,22,35620,18,2,3050.9084,1
629740494710973,79001,1,200504,46,-0.01,21,35620,45,1,4647.7173,1
366992909036687,78001,4,200504,46,10.00,21,35620,26,1,3287.8513,1
608907701799583,79001,1,200504,46,-0.01,58,12060,51,1,2923.1157,1
924519470549307,79001,3,200504,46,-0.01,22,47220,16,2,3346.2809,1
