HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
192962205019369,78001,2,200503,46,-0.01,58,0,25,1,3846.8195,1
189397429400798,79001,3,200503,46,-0.01,22,35620,17,2,2912.0083,1
398905508029636,79001,5,200503,46,5.00,21,40380,18,2,3255.8435,1
260768097935559,79001,3,200503,46,6.50,21,40380,25,2,3598.9872,1
699560026320973,79001,2,200503,46,-0.01,21,40380,38,2,3140.0086,1
906901113991676,79001,2,200503,46,-0.01,21,45060,32,1,3143.2605,1
980086979359480,79001,3,200503,46,5.15,21,45060,19,2,2927.2904,1
63523024909195,78001,1,200503,46,-0.01,21,0,32,1,3392.0994,1
996629450239306,79001,1,200503,46,8.50,21,0,28,2,2981.8172,1
496966004044249,79001,3,200503,46,-0.01,23,38300,41,1,4268.7660,1
932749350309403,79001,2,200503,46,10.30,23,38300,53,1,2770.4280,1
941393149400766,78001,4,200503,46,-0.01,22,35620,22,1,2179.6749,1
914959910479308,78001,1,200503,46,15.50,22,35620,50,1,2290.1192,1
663562072907797,78001,1,200503,46,-0.01,21,15380,56,2,2566.7114,1
990366099332868,78002,1,200503,46,-0.01,21,35620,35,1,3455.9055,1
397933606089698,78001,1,200503,46,-0.01,21,45060,70,2,2218.6333,1
916789930066305,78001,2,200503,46,-0.01,21,0,16,2,1915.4745,1
932429810646408,78001,2,200503,46,14.00,23,38300,65,1,1855.8574,1
862379820326407,78001,1,200503,46,-0.01,23,38300,36,2,2034.5138,1
967072999418780,78001,3,200503,46,52.00,23,37980,18,1,2788.2427,1
938497319200022,78001,1,200503,46,-0.01,23,37980,59,1,3001.4170,1
491902203030299,78002,1,200503,46,-0.01,23,38300,22,1,2126.9296,1
924519470549307,79001,3,200503,46,-0.01,22,47220,16,2,3652.1675,1
77453640965097,79001,4,200503,46,-0.01,22,35620,18,2,3168.1390,1
397905306042428,79001,3,200503,46,7.00,22,35620,18,2,3008.4704,1
489170686860963,79001,3,200503,46,-0.01,22,35620,18,2,3168.1390,1
909026623369620,79001,1,200503,46,-0.01,21,40380,43,1,2968.4255,1
909026623369620,79001,3,200503,46,-0.01,21,40380,20,2,3131.3400,1
372299160839402,79001,2,200503,46,-0.01,23,37980,47,1,3042.2600,1
130409977307287,78001,3,200503,46,-0.01,22,35620,19,-1,2731.9420,3
972026727319160,78001,3,200503,46,6.00,21,35620,18,2,1700.1859,1
904076343329470,78001,3,200503,46,-0.01,21,35620,17,2,2713.0773,1
956033974159620,79001,1,200503,46,7.75,58,12060,24,1,5155.6462,1
531173004909998,78001,1,200503,46,-0.01,58,0,22,2,3134.2631,1
710300052442418,79001,1,200503,46,-0.01,58,12060,41,2,3652.0957,1
191958007009309,79001,1,200503,46,-0.01,58,0,40,1,2881.9856,1
489180724140983,79001,1,200503,46,-0.01,22,35620,45,2,3280.1421,1
226209850679301,79001,1,200503,46,17.18,21,35620,56,1,3412.5029,1
80693860987795,79001,3,200503,46,-0.01,21,45060,21,2,3475.6583,1
463595088909995,79001,1,200503,46,-0.01,21,39100,33,1,4801.6235,1
699610468590973,79001,4,200503,46,-0.01,21,45060,19,2,3025.6596,1
79413860987994,79001,3,200503,46,-0.01,21,45060,18,2,3493.2067,1
982076961359830,79001,2,200503,46,-0.01,21,10580,34,1,2706.7062,1
163803068909990,79001,4,200503,46,-0.01,21,0,16,2,3585.8904,1
570625097148279,79001,2,200503,46,-0.01,23,38300,77,1,3135.2165,1
289050323630964,79001,1,200503,46,-0.01,23,39740,20,2,2957.7157,1
552899460139408,79001,1,200503,46,-0.01,23,37980,44,2,2903.5073,1
63492899200951,79001,2,200503,46,-0.01,23,10900,21,1,3223.1117,1
770925091447489,79001,2,200503,46,-0.01,23,10900,43,1,3377.4332,1
342498429200948,78001,2,200503,46,-0.01,23,0,20,1,3426.8438,2
406065507046271,79001,3,200503,46,-0.01,23,38300,18,-1,2845.1516,3
908032614469250,79001,2,200503,46,-0.01,23,38300,46,1,2887.0688,1
524634088909190,79001,3,200503,46,-0.01,23,38300,18,2,2985.9115,1
194953400094316,78001,2,200503,46,-0.01,58,12060,51,2,3620.6286,1
983839210246104,78002,1,200503,46,-0.01,58,12060,24,1,5108.6031,1
231366749400940,78001,2,200503,46,-0.01,22,12100,24,1,4332.3076,1
70442096931969,78001,3,200503,46,15.00,22,35620,51,1,2290.1192,1
67563140697199,78001,2,200503,46,-0.01,22,35620,45,1,2360.4582,1
650940066233889,78001,1,200503,46,-0.01,22,35620,32,1,2740.6556,1
784049830069307,78001,1,200503,46,-0.01,22,35620,64,2,2607.5701,1
848393579400988,78001,8,200503,46,-0.01,22,35620,25,2,2396.4044,1
330409918464183,78001,2,200503,46,-0.01,22,35620,48,1,2440.4391,1
130609969410103,78002,1,200503,46,9.00,21,35620,35,1,3043.0176,1
63544044807596,78001,3,200503,46,-0.01,21,35620,24,1,5008.6776,1
63544044807596,78001,4,200503,46,-0.01,21,35620,29,1,4416.5082,1
396951005091636,78001,1,200503,46,7.70,21,15380,23,1,3128.9446,1
396951005091636,78001,3,200503,46,8.00,21,15380,22,1,2893.6647,1
263476071906796,78001,4,200503,46,-0.01,21,35620,64,1,3698.8181,1
703901183693476,78001,1,200503,46,-0.01,21,40380,50,1,2667.3080,1
703901183693476,78001,2,200503,46,-0.01,21,40380,48,1,2228.7147,1
637016814329120,78001,2,200503,46,-0.01,21,35620,51,1,2944.4074,1
156850140750303,78003,3,200503,46,-0.01,21,10580,19,2,3112.6304,1
430397749600134,78001,1,200503,46,-0.01,21,35620,50,1,2289.9814,1
363629093906893,78001,3,200503,46,-0.01,21,35620,24,2,3527.9860,1
716559430969304,78001,3,200503,46,-0.01,21,35620,19,1,2531.4917,1
519403430200105,78001,1,200503,46,10.00,23,25420,26,2,2252.4056,1
519403430200105,78001,2,200503,46,-0.01,23,25420,35,1,2352.7586,1
493954100012249,78001,3,200503,46,-0.01,23,25420,21,2,2311.5969,1
493954100012249,78001,5,200503,46,-0.01,23,25420,28,2,2485.7368,1
462974401072259,78001,2,200503,46,-0.01,23,0,25,1,4240.0935,1
490971705016288,78001,2,200503,46,7.00,23,42540,48,1,2308.0578,1
495924507013259,78001,3,200503,46,-0.01,23,42540,20,2,2672.0699,1
299370380260914,78001,3,200503,46,-0.01,23,10900,18,-1,2129.7615,3
820927093341609,78001,3,200503,46,6.00,23,10900,16,2,2156.6831,1
