HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
966033937159700,79001,2,200502,46,-0.01,58,12060,17,2,2890.0900,1
60945091637059,79001,4,200502,46,-0.01,22,10900,17,2,3377.4582,1
466849570739300,79001,2,200502,46,-0.01,21,35620,28,1,7583.9080,1
44763760970397,79001,3,200502,46,-0.01,21,35620,17,2,2713.7083,1
44763760970397,79001,4,200502,46,-0.01,21,35620,22,1,3694.5691,1
609800432700943,79001,1,200502,46,-0.01,21,35620,45,1,3707.1130,1
609800432700943,79001,2,200502,46,6.00,21,35620,18,2,3445.2283,1
70442096931969,78001,3,200502,46,-0.01,22,35620,51,1,2274.1249,1
263476071906796,78001,4,200502,46,-0.01,21,35620,64,1,4246.8683,1
366992909036687,78001,4,200502,46,-0.01,21,35620,26,1,3454.9077,1
489620906790943,79001,1,200502,46,-0.01,22,35620,74,1,3035.5075,1
404904213797184,79001,1,200502,46,6.00,22,35620,38,2,2528.0568,1
397905306042428,79001,3,200502,46,-0.01,22,35620,18,2,2833.1844,1
489170686860963,79001,3,200502,46,-0.01,22,35620,18,2,2997.5106,1
909026623369620,79001,1,200502,46,-0.01,21,40380,43,1,2947.7806,1
63942014909492,79001,1,200502,46,-0.01,21,39100,70,-1,2730.1817,3
305901213894716,79001,3,200502,46,-0.01,21,35620,41,1,3011.2259,1
208600874998742,77001,3,200502,46,5.60,23,0,18,2,2869.0961,1
543492759200915,79001,2,200502,46,-0.01,23,42540,16,-1,2973.4971,3
140845097832119,78001,2,200502,46,-0.01,22,45940,34,2,2393.5702,1
230609937451291,78001,2,200502,46,-0.01,21,10580,21,2,3885.5552,1
840209935762899,77001,3,200502,46,6.00,23,49620,19,2,2218.5549,1
367195089300999,79001,4,200502,46,-0.01,58,12060,18,2,3659.4362,1
398905508029636,79001,5,200502,46,-0.01,21,40380,18,2,3031.7012,1
260768097935559,79001,3,200502,46,-0.01,21,40380,25,2,3336.4793,1
430609973445195,79001,3,200502,46,8.00,21,15380,20,2,3750.2199,1
996629450239306,79001,1,200502,46,-0.01,21,0,28,2,3001.9788,1
70622096946969,79001,2,200502,46,-0.01,23,38300,39,1,2920.7075,1
560929066245269,79001,2,200502,46,-0.01,23,0,43,1,2720.1978,1
299820270940954,79001,5,200502,46,-0.01,23,42540,17,2,3076.6280,1
299820270940954,79001,6,200502,46,-0.01,23,42540,20,2,3379.3836,1
932749350309403,79001,2,200502,46,-0.01,23,38300,53,1,2713.0471,1
350270089000021,78001,1,200502,46,-0.01,58,12060,25,1,4934.4871,1
960748091531079,78001,2,200502,46,-0.01,22,12100,25,1,2730.2560,1
49573160699592,78001,3,200502,46,-0.01,21,0,44,2,2297.9296,1
396951005091636,78001,1,200502,46,-0.01,21,15380,23,1,2173.2320,1
396951005091636,78001,3,200502,46,-0.01,21,15380,22,1,2954.7021,1
663562072907797,78001,1,200502,46,-0.01,21,15380,56,1,2576.3357,2
202601554992502,78002,1,200502,46,-0.01,23,0,25,2,2578.5039,1
932429810646408,78001,2,200502,46,-0.01,23,38300,65,1,1867.5044,1
862379820326407,78001,1,200502,46,-0.01,23,38300,36,2,2142.8866,1
108602524999092,77001,3,200502,46,24.75,23,38300,61,1,2135.9738,1
840209991476996,77001,1,200502,46,-0.01,23,38300,77,1,2120.2297,1
840219980365491,77011,1,200502,46,5.15,23,38300,21,1,2524.8420,1
6902081990763,79001,2,200502,46,-0.01,58,31420,17,2,3661.7996,1
963379850329107,79001,1,200502,46,-0.01,58,42340,34,2,3714.5089,1
31339006909997,79001,2,200502,46,-0.01,58,42340,26,2,4596.4524,1
960023970159060,79001,3,200502,46,-0.01,58,12060,24,1,3761.6814,1
141197409300932,79001,1,200502,46,9.60,58,0,35,1,2898.9517,1
243532084907496,79001,3,200502,46,16.00,22,37980,23,1,3294.7597,1
643391099400914,79001,2,200502,46,12.50,22,37980,43,2,2676.0867,1
77453640965097,79001,4,200502,46,-0.01,22,35620,18,2,2997.5106,1
430609918412090,79001,3,200502,46,5.55,21,13780,17,2,2315.6812,1
395944009009689,79001,2,200502,46,8.50,21,15380,23,1,3802.7663,1
376289240669301,79001,1,200502,46,7.00,21,35620,59,1,2786.9708,1
45397789600967,79001,1,200502,46,-0.01,21,45060,26,1,3358.9133,1
980086979359480,79001,3,200502,46,-0.01,21,45060,19,2,2858.7551,1
699610468590973,79001,4,200502,46,-0.01,21,45060,19,2,2785.1362,1
6907163995896,79001,2,200502,46,-0.01,21,0,24,1,3238.9560,1
40667094334669,79001,1,200502,46,-0.01,21,35620,40,1,3197.3818,2
40667094334669,79001,2,200502,46,-0.01,21,35620,41,1,3095.5063,1
206902064994372,79001,1,200502,46,-0.01,23,10900,38,2,2865.9295,1
705905804899522,79001,1,200502,46,-0.01,23,25420,22,1,3400.5551,1
972489250099402,79001,1,200502,46,-0.01,23,42540,38,1,3037.3238,1
469934909099219,79001,1,200502,46,-0.01,23,0,63,-1,2759.9978,3
5144420983698,79001,2,200502,46,-0.01,23,38300,18,-1,2847.5047,3
908032614469250,79001,2,200502,46,-0.01,23,38300,46,1,2898.5197,1
986361149400934,77001,4,200502,46,-0.01,22,37980,19,1,2352.3732,1
544659380489307,77002,1,200502,46,6.00,22,35620,42,2,2060.7708,1
544659380489307,77002,2,200502,46,-0.01,22,35620,46,1,2000.1448,1
130609969410103,78002,1,200502,46,-0.01,21,35620,35,1,3171.6504,1
128533160997492,78013,1,200502,46,-0.01,21,3610,19,2,2582.6782,2
706209310269306,78001,3,200502,46,-0.01,21,15380,22,2,3129.4077,1
990560094338899,77001,2,200502,46,10.00,21,15380,26,2,3196.6996,1
420266097633779,78001,4,200502,46,-0.01,21,35620,40,1,3790.4992,1
697520784430933,78001,2,200502,46,-0.01,21,35620,44,1,3587.8244,1
730968090633749,78001,2,200502,46,-0.01,21,39100,56,1,4247.9464,1
302908063490456,78001,1,200502,46,-0.01,21,35620,40,1,2789.0381,1
724099063903692,78001,2,200502,46,-0.01,23,38300,20,2,2368.0888,1
955082561489890,77001,3,200502,46,6.85,23,38300,33,1,1769.0161,1
57624820981493,77002,3,200502,46,5.50,23,39740,15,2,0.0000,1
289490279090984,77001,3,200502,46,8.00,23,25420,17,2,2174.0688,1
982219410769401,78001,2,200502,46,-0.01,23,21500,46,1,2433.3535,1
840209991476996,77261,1,200502,46,-0.01,23,38300,80,1,2120.2297,1
497941806059256,78001,4,200502,46,-0.01,23,37980,20,2,2522.9395,1
820927093341609,78001,3,200502,46,-0.01,23,10900,16,2,2257.2835,1
495973107048248,78001,1,200502,46,-0.01,23,10900,50,1,2254.3005,1
240209961517595,78001,2,200502,46,-0.01,23,0,37,2,2397.5440,1
491902203030299,78002,1,200502,46,-0.01,23,38300,21,1,2152.1331,1
822839630066407,78001,4,200502,46,-0.01,23,38300,33,2,2008.0294,2
942939330299405,78001,3,200502,46,-0.01,23,49620,21,2,2773.1676,1
844395269400723,79001,2,200502,46,4.00,22,37980,19,1,2872.4307,1
489190562310943,79001,3,200502,46,-0.01,22,35620,16,2,3372.9483,2
543961071906498,78001,3,200502,46,-0.01,22,35620,17,2,2111.2522,1
942063957139130,78001,2,200502,46,-0.01,58,0,55,1,2647.6524,1
365196949300926,79001,1,200502,46,-0.01,58,17980,35,1,3469.4618,1
500846094436459,79001,1,200502,46,-0.01,22,37980,60,1,2745.0948,1
994066502349410,79001,1,200502,46,-0.01,21,15380,43,1,3094.9730,1
410961064137729,79001,1,200502,46,-0.01,21,0,38,2,2996.6212,1
699560026320973,79001,2,200502,46,-0.01,21,40380,38,2,3298.2271,1
959006162369450,79001,6,200502,46,-0.01,21,35620,20,2,3295.5298,1
976399969600338,79001,2,200502,46,-0.01,21,35620,27,1,6801.6521,1
906901113991676,79001,2,200502,46,-0.01,21,45060,32,1,3132.6417,1
404909513298726,79001,2,200502,46,6.00,21,35620,32,1,4039.4965,1
669710423110963,79001,2,200502,46,-0.01,21,35620,21,2,3126.9856,1
916349070159300,79001,4,200502,46,-0.01,21,35620,20,1,4422.5260,1
263487087908493,79001,1,200502,46,-0.01,21,35620,31,1,4305.4556,1
263487087908493,79001,4,200502,46,-0.01,21,35620,31,1,2826.7991,1
110465092735479,79001,2,200502,46,-0.01,21,35620,21,1,3739.0170,2
974052905459190,79001,3,200502,46,-0.01,23,38300,20,2,3291.2028,2
5734520999297,79001,3,200502,46,-0.01,23,21500,18,2,3139.5824,1
977052993459020,79001,1,200502,46,-0.01,23,21500,24,2,3470.1378,1
63492899200951,79001,2,200502,46,-0.01,23,10900,21,2,3234.7183,1
752829750969404,79001,4,200502,46,-0.01,23,37980,27,1,3631.3133,1
497957206049283,79001,4,200502,46,-0.01,23,37980,18,2,3701.6481,1
983839210246104,78002,1,200502,46,-0.01,58,12060,24,1,4987.1612,1
330409921262787,78002,1,200502,46,-0.01,22,37980,25,1,2969.4026,1
70447097233379,78001,2,200502,46,-0.01,22,35620,44,2,3122.7053,1
