HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRDTIND1,PTERNHLY,GESTCEN,GTCBSA,PRTAGE,PRFTLF,PWCMPWGT,PRMLR
198973500096378,79001,2,200501,46,15.00,58,12060,41,2,2287.3449,1
198995304045348,79001,2,200501,46,-0.01,58,12060,18,2,3781.2876,1
606308080059303,77001,2,200501,46,-0.01,21,35620,28,1,4027.6051,1
606308080059303,77001,3,200501,46,-0.01,21,35620,47,1,2539.1204,1
606308080059303,77001,4,200501,46,-0.01,21,35620,44,1,4071.9990,1
25111430013307,79001,3,200501,46,-0.01,58,12060,18,2,3856.5580,1
25111430013307,79001,4,200501,46,-0.01,58,12060,16,2,3438.3825,1
923979470769108,77001,2,200501,46,-0.01,58,46660,22,-1,3590.0447,3
489620906790943,79001,1,200501,46,-0.01,22,35620,73,1,3124.2615,1
396953400045445,79001,1,200501,46,-0.01,22,37980,46,1,3779.7602,1
844395269400723,79001,2,200501,46,-0.01,22,37980,19,1,2736.4235,1
479060133740933,79001,3,200501,46,-0.01,22,35620,30,1,2907.6308,2
784179650269308,79001,3,200501,46,-0.01,22,35620,45,1,3827.0085,1
11743360994895,79001,1,200501,46,6.00,21,0,20,2,3186.9300,1
530609905849069,79001,3,200501,46,-0.01,21,15380,16,2,3097.9110,1
530609905849069,79001,4,200501,46,-0.01,21,15380,15,2,0.0000,1
208600874998742,77001,3,200501,46,-0.01,23,0,18,2,2919.1401,1
782719250659401,79001,2,200501,46,-0.01,23,37980,17,2,2790.9235,1
902369310806406,78001,4,200501,46,-0.01,23,0,22,1,3241.0944,1
399080857960971,77001,3,200501,46,5.50,58,31420,16,2,4222.4867,1
40491730971594,77001,3,200501,46,-0.01,58,12060,15,-1,0.0000,3
689980910530983,77001,2,200501,46,-0.01,21,35620,70,1,2039.6051,2
907907524190652,77001,4,200501,46,3.00,23,38300,21,2,2736.7506,1
607004884107872,77001,3,200501,46,5.15,23,25420,24,2,2668.9352,1
664149040449303,79001,1,200501,46,-0.01,22,35620,35,1,3167.9166,1
77453640965097,79001,4,200501,46,-0.01,22,35620,17,2,3178.0405,1
210948091733449,79001,2,200501,46,-0.01,22,35620,33,1,3237.1325,1
706901683993736,79001,4,200501,46,-0.01,21,39100,19,1,2386.0887,1
12313360979894,79001,3,200501,46,-0.01,21,40380,20,-1,3120.2339,3
398905508029636,79001,5,200501,46,-0.01,21,40380,18,2,3097.9110,1
260768097935559,79001,3,200501,46,-0.01,21,40380,25,2,3328.3579,1
430609973445195,79001,3,200501,46,-0.01,21,15380,20,1,3410.7523,1
663398063908997,79001,2,200501,46,10.00,21,45060,54,2,2800.9585,1
663398063908997,79001,6,200501,46,-0.01,21,45060,23,1,3266.0750,2
45397789600967,79001,1,200501,46,-0.01,21,45060,26,1,3488.7373,1
990967094133749,79001,3,200501,46,8.00,21,45060,23,2,3754.8361,1
980086979359480,79001,3,200501,46,-0.01,21,45060,19,2,2943.8334,1
57714420952597,79001,3,200501,46,-0.01,23,38300,17,2,2865.3826,1
70622096946969,79001,2,200501,46,-0.01,23,38300,39,1,2941.0176,1
24541014909293,79001,2,200501,46,-0.01,23,25420,18,2,3025.6191,1
924960004909893,79001,1,200501,46,-0.01,23,21500,37,1,2786.6195,1
932749350309403,79001,2,200501,46,-0.01,23,38300,53,1,2829.2741,1
948052978459350,79001,2,200501,46,-0.01,23,49620,48,2,3001.2042,1
957063942179040,77001,3,200501,46,5.50,58,0,16,2,2280.3528,1
960748091531079,78001,2,200501,46,-0.01,22,12100,25,1,2697.4107,1
307905923890784,77001,1,200501,46,-0.01,22,12100,69,2,1814.7870,1
730409912902452,77001,3,200501,46,10.00,22,35620,19,1,2299.3169,1
49573160699592,78001,3,200501,46,-0.01,21,0,44,2,2356.4154,1
663562072907797,78001,1,200501,46,-0.01,21,15380,56,2,2713.5472,1
263476071906796,78001,4,200501,46,-0.01,21,35620,64,1,3882.3760,1
366992909036687,78001,4,200501,46,-0.01,21,35620,26,1,3892.7646,1
360768099531509,78001,1,200501,46,-0.01,21,45060,48,1,2687.0297,1
963006987379041,77012,2,200501,46,10.00,21,40380,25,1,3029.8107,1
298960521980974,77001,3,200501,46,6.75,23,38300,18,2,2460.5116,1
298960521980974,77001,4,200501,46,6.50,23,38300,17,2,2273.0147,1
57624820981493,77002,3,200501,46,-0.01,23,39740,15,2,0.0000,1
982219410769401,78001,2,200501,46,-0.01,23,21500,46,1,2338.4097,1
932429810646408,78001,2,200501,46,-0.01,23,38300,65,1,1963.8111,1
840209991476996,77001,1,200501,46,-0.01,23,38300,77,1,2138.8577,1
840209991476996,77261,1,200501,46,-0.01,23,38300,80,1,2138.8577,1
307902454890852,77001,2,200501,46,7.00,23,10900,48,2,2043.6806,1
240209961517595,78001,2,200501,46,-0.01,23,0,37,2,2482.0246,1
424704081908465,78002,1,200501,46,-0.01,23,38300,21,2,2348.9135,2
424704081908465,78002,2,200501,46,-0.01,23,38300,20,2,2382.3395,1
908907624998352,77001,7,200501,46,-0.01,23,49620,19,1,2175.0022,1
608905341997403,77002,3,200501,46,-0.01,58,42340,18,1,3236.8939,2
231269084909290,79001,2,200501,46,-0.01,58,12060,42,2,2999.6914,1
973889450829109,79001,2,200501,46,-0.01,58,12060,20,1,4474.2008,1
431834084907694,79001,1,200501,46,-0.01,58,12060,64,1,3011.5838,1
431834084907694,79001,2,200501,46,-0.01,58,12060,60,1,2885.2287,1
310309951878985,79001,7,200501,46,-0.01,58,12060,28,1,2579.4080,2
831264026909194,79001,2,200501,46,-0.01,58,0,33,1,3761.0191,2
643391099400914,79001,2,200501,46,-0.01,22,37980,43,2,2748.4753,1
884339760849309,79001,1,200501,46,-0.01,22,37980,59,1,3013.3676,1
32390639400862,79001,3,200501,46,2.00,22,35620,21,2,2907.5892,1
90844099936779,79001,1,200501,46,-0.01,22,35620,50,1,3152.2460,1
430609918412090,79001,3,200501,46,-0.01,21,13780,17,2,2220.1675,1
986079430279308,79001,2,200501,46,5.00,21,0,20,2,3841.4870,1
463834094909767,79001,3,200501,46,-0.01,21,0,18,2,3434.4048,1
699830325310653,79001,3,200501,46,-0.01,21,0,16,2,3011.7687,1
679890045500933,79001,2,200501,46,11.00,21,35620,26,1,4601.9986,1
530609925029614,79001,2,200501,46,-0.01,21,35620,37,1,4790.0072,2
963206026909495,79001,2,200501,46,-0.01,21,35620,47,2,4262.6575,1
330609906464484,79001,1,200501,46,-0.01,21,40380,41,1,2739.3002,1
906159630229308,79001,4,200501,46,3.00,21,35620,22,1,3253.6531,1
609800432700943,79001,1,200501,46,-0.01,21,35620,50,1,2694.2263,1
609800432700943,79001,2,200501,46,-0.01,21,35620,18,2,3397.5781,1
305901213894716,79001,3,200501,46,-0.01,21,35620,41,1,3319.4628,1
23873660968891,79001,1,200501,46,-0.01,21,35620,48,1,3087.2692,1
699920743610913,78001,5,200501,46,-0.01,21,0,18,2,3169.4019,1
705905804899522,79001,1,200501,46,-0.01,23,25420,22,1,3359.3170,1
5734520999297,79001,3,200501,46,-0.01,23,21500,18,2,2920.6420,1
24654014909398,79001,1,200501,46,-0.01,23,38300,38,1,2749.0643,1
63492899200951,79001,2,200501,46,-0.01,23,10900,21,2,3205.1705,1
124520023905693,79001,1,200501,46,2.83,23,37980,49,1,2798.8378,1
752829750969404,79001,4,200501,46,-0.01,23,37980,27,1,3889.7629,1
56874320999099,79001,2,200501,46,7.35,23,0,55,2,2317.3863,1
279350587450954,79001,2,200501,46,-0.01,23,38300,20,1,3241.3631,1
908032614469250,79001,2,200501,46,-0.01,23,38300,46,1,3080.6533,1
502607401998783,78001,4,200501,46,-0.01,58,0,16,2,2688.1597,1
907002741103483,77001,1,200501,46,-0.01,58,31420,30,1,3698.7698,1
70442096931969,78001,3,200501,46,-0.01,22,35620,51,1,2363.3283,1
943058087906991,77001,3,200501,46,11.50,22,35620,18,2,1909.0662,1
544659380489307,77002,1,200501,46,-0.01,22,35620,42,2,2008.4141,1
544659380489307,77002,2,200501,46,-0.01,22,35620,46,1,2086.6090,1
31693840980990,77001,2,200501,46,-0.01,22,35620,62,1,2722.3743,1
499890558040913,78001,4,200501,46,-0.01,22,35620,20,1,2869.4306,1
397907706046498,77001,4,200501,46,8.75,22,35620,23,1,3172.7386,1
840443093537939,77001,2,200501,46,11.50,22,35620,43,2,1671.0275,1
840443093537939,77001,3,200501,46,5.75,22,35620,17,2,2299.3169,1
361948305059619,77001,1,200501,46,-0.01,21,3610,34,1,2276.5819,1
699550565050973,77001,1,200501,46,6.35,21,39100,31,1,2792.3482,1
706209310269306,78001,3,200501,46,-0.01,21,15380,22,1,3204.7545,1
990560094338899,77001,2,200501,46,-0.01,21,15380,26,2,2854.3013,1
280960090237858,77001,5,200501,46,8.00,21,35620,72,2,2049.5619,1
466849570739300,77001,1,200501,46,-0.01,21,35620,57,1,2323.3151,1
896377880009309,77001,3,200501,46,-0.01,21,35620,22,2,3705.2244,1
699070856570913,78002,1,200501,46,-0.01,21,0,19,2,2585.1715,1
130609925411737,78001,2,200501,46,-0.01,21,35620,17,2,2256.0594,1
962079570699406,77001,1,200501,46,-0.01,23,38300,53,1,2147.7592,1
902279610089400,78001,1,200501,46,-0.01,23,27780,39,2,2018.3065,1
140209917659680,78001,1,200501,46,-0.01,23,25420,42,2,2020.3949,1
