Monthly GDP in the US,
Source: http://ycharts.com/indicators/us_monthly_gdp,
,
"Dec. 31, 2012",16.51T
"Nov. 30, 2012",16.37T
"Oct. 31, 2012",16.38T
"Sept. 30, 2012",16.41T
"Aug. 31, 2012",16.29T
31-Jul-12,16.36T
30-Jun-12,16.21T
31-May-12,16.16T
30-Apr-12,16.12T
31-Mar-12,16.06T
"Feb. 29, 2012",16.14T
"Jan. 31, 2012",15.92T
"Dec. 31, 2011",15.79T
"Nov. 30, 2011",15.79T
"Oct. 31, 2011",15.87T
"Sept. 30, 2011",15.58T
"Aug. 31, 2011",15.69T
31-Jul-11,15.13T
30-Jun-11,14.93T
31-May-11,15.04T
30-Apr-11,15.04T
31-Mar-11,14.99T
"Feb. 28, 2011",14.74T
"Jan. 31, 2011",14.72T
"Dec. 31, 2010",14.81T
"Nov. 30, 2010",14.69T
"Oct. 31, 2010",14.71T
"Sept. 30, 2010",14.64T
"Aug. 31, 2010",14.55T
31-Jul-10,14.54T
30-Jun-10,14.45T
31-May-10,14.40T
30-Apr-10,14.40T
31-Mar-10,14.35T
"Feb. 28, 2010",14.25T
"Jan. 31, 2010",14.21T
"Dec. 31, 2009",14.08T
"Nov. 30, 2009",14.16T
"Oct. 31, 2009",14.16T
"Sept. 30, 2009",13.98T
"Aug. 31, 2009",13.99T
31-Jul-09,13.89T
30-Jun-09,13.91T
31-May-09,13.88T
30-Apr-09,13.87T
31-Mar-09,13.89T
"Feb. 28, 2009",13.95T
"Jan. 31, 2009",13.93T
"Dec. 31, 2008",13.88T
"Nov. 30, 2008",14.16T
"Oct. 31, 2008",14.20T
"Sept. 30, 2008",14.33T
"Aug. 31, 2008",14.37T
31-Jul-08,14.49T
30-Jun-08,14.58T
31-May-08,14.34T
30-Apr-08,14.33T
31-Mar-08,14.27T
"Feb. 29, 2008",14.18T
"Jan. 31, 2008",14.36T
"Dec. 31, 2007",14.33T
"Nov. 30, 2007",14.24T
"Oct. 31, 2007",14.19T
"Sept. 30, 2007",14.26T
"Aug. 31, 2007",14.12T
31-Jul-07,14.00T
30-Jun-07,13.99T
31-May-07,14.00T
30-Apr-07,13.94T
31-Mar-07,13.76T
"Feb. 28, 2007",13.83T
"Jan. 31, 2007",13.68T
"Dec. 31, 2006",13.62T
"Nov. 30, 2006",13.62T
"Oct. 31, 2006",13.52T
"Sept. 30, 2006",13.49T
"Aug. 31, 2006",13.43T
31-Jul-06,13.38T
30-Jun-06,13.37T
31-May-06,13.34T
30-Apr-06,13.27T
31-Mar-06,13.29T
"Feb. 28, 2006",13.10T
"Jan. 31, 2006",13.09T
"Dec. 31, 2005",13.00T
"Nov. 30, 2005",12.87T
"Oct. 31, 2005",12.83T
"Sept. 30, 2005",12.78T
"Aug. 31, 2005",12.74T
31-Jul-05,12.66T
30-Jun-05,12.60T
31-May-05,12.44T
30-Apr-05,12.46T
31-Mar-05,12.41T
"Feb. 28, 2005",12.33T
"Jan. 31, 2005",12.35T
"Dec. 31, 2004",12.17T
